step,time,drone_0_phase,drone_0_is_firing,drone_0_coupling,drone_0_pos_x,drone_0_pos_y,drone_1_phase,drone_1_is_firing,drone_1_coupling,drone_1_pos_x,drone_1_pos_y,drone_2_phase,drone_2_is_firing,drone_2_coupling,drone_2_pos_x,drone_2_pos_y
74,0.74,5.564113,0,-0.05128,4.3888,8.586,5.227426,0,0.066972,0.9418,9.7562,5.597945,0,-0.015692,7.8606,1.2811
75,0.75,5.573604,0,-0.050935,4.3888,8.586,5.238593,0,0.066706,0.9418,9.7562,5.608787,0,-0.01577,7.8606,1.2811
76,0.76,5.583098,0,-0.050591,4.3888,8.586,5.249757,0,0.066439,0.9418,9.7562,5.619629,0,-0.015848,7.8606,1.2811
77,0.77,5.592596,0,-0.050248,4.3888,8.586,5.260919,0,0.066174,0.9418,9.7562,5.630469,0,-0.015926,7.8606,1.2811
78,0.78,5.602097,0,-0.049906,4.3888,8.586,5.272078,0,0.06591,0.9418,9.7562,5.641309,0,-0.016004,7.8606,1.2811
79,0.79,5.611601,0,-0.049565,4.3888,8.586,5.283234,0,0.065646,0.9418,9.7562,5.652148,0,-0.016081,7.8606,1.2811
80,0.8,5.621109,0,-0.049225,4.3888,8.586,5.294388,0,0.065384,0.9418,9.7562,5.662987,0,-0.016158,7.8606,1.2811
81,0.81,5.63062,0,-0.048887,4.3888,8.586,5.305539,0,0.065122,0.9418,9.7562,5.673825,0,-0.016235,7.8606,1.2811
82,0.82,5.640134,0,-0.048549,4.3888,8.586,5.316688,0,0.064861,0.9418,9.7562,5.684661,0,-0.016312,7.8606,1.2811
83,0.83,5.649652,0,-0.048212,4.3888,8.586,5.327834,0,0.064601,0.9418,9.7562,5.695498,0,-0.016388,7.8606,1.2811
84,0.84,5.659173,0,-0.047877,4.3888,8.586,5.338977,0,0.064341,0.9418,9.7562,5.706333,0,-0.016465,7.8606,1.2811
85,0.85,5.668698,0,-0.047542,4.3888,8.586,5.350118,0,0.064083,0.9418,9.7562,5.717167,0,-0.016541,7.8606,1.2811
86,0.86,5.678226,0,-0.047209,4.3888,8.586,5.361256,0,0.063825,0.9418,9.7562,5.728001,0,-0.016616,7.8606,1.2811
87,0.87,5.687757,0,-0.046876,4.3888,8.586,5.372392,0,0.063568,0.9418,9.7562,5.738834,0,-0.016692,7.8606,1.2811
88,0.88,5.697292,0,-0.046545,4.3888,8.586,5.383525,0,0.063312,0.9418,9.7562,5.749667,0,-0.016768,7.8606,1.2811
89,0.89,5.70683,0,-0.046214,4.3888,8.586,5.394656,0,0.063057,0.9418,9.7562,5.760498,0,-0.016843,7.8606,1.2811
90,0.9,5.716371,0,-0.045885,4.3888,8.586,5.405784,0,0.062803,0.9418,9.7562,5.771329,0,-0.016918,7.8606,1.2811
91,0.91,5.725915,0,-0.045557,4.3888,8.586,5.416909,0,0.062549,0.9418,9.7562,5.782159,0,-0.016992,7.8606,1.2811
92,0.92,5.735463,0,-0.04523,4.3888,8.586,5.428032,0,0.062297,0.9418,9.7562,5.792989,0,-0.017067,7.8606,1.2811
93,0.93,5.745014,0,-0.044903,4.3888,8.586,5.439153,0,0.062045,0.9418,9.7562,5.803817,0,-0.017141,7.8606,1.2811
94,0.94,5.754568,0,-0.044578,4.3888,8.586,5.450271,0,0.061794,0.9418,9.7562,5.814645,0,-0.017216,7.8606,1.2811
95,0.95,5.764125,0,-0.044254,4.3888,8.586,5.461386,0,0.061544,0.9418,9.7562,5.825472,0,-0.01729,7.8606,1.2811
96,0.96,5.773686,0,-0.043931,4.3888,8.586,5.472499,0,0.061294,0.9418,9.7562,5.836298,0,-0.017363,7.8606,1.2811
97,0.97,5.78325,0,-0.043609,4.3888,8.586,5.48361,0,0.061046,0.9418,9.7562,5.847124,0,-0.017437,7.8606,1.2811
98,0.98,5.792817,0,-0.043288,4.3888,8.586,5.494717,0,0.060798,0.9418,9.7562,5.857949,0,-0.01751,7.8606,1.2811
99,0.99,5.802387,0,-0.042968,4.3888,8.586,5.505823,0,0.060551,0.9418,9.7562,5.868773,0,-0.017583,7.8606,1.2811
100,1.0,5.811961,0,-0.042649,4.3888,8.586,5.516926,0,0.060305,0.9418,9.7562,5.879597,0,-0.017656,7.8606,1.2811
101,1.01,5.821538,0,-0.042331,4.3888,8.586,5.528027,0,0.06006,0.9418,9.7562,5.890419,0,-0.017729,7.8606,1.2811
102,1.02,5.831118,0,-0.042014,4.3888,8.586,5.539125,0,0.059815,0.9418,9.7562,5.901241,0,-0.017801,7.8606,1.2811
103,1.03,5.840701,0,-0.041698,4.3888,8.586,5.550221,0,0.059572,0.9418,9.7562,5.912063,0,-0.017874,7.8606,1.2811
104,1.04,5.850287,0,-0.041383,4.3888,8.586,5.561314,0,0.059329,0.9418,9.7562,5.922883,0,-0.017946,7.8606,1.2811
105,1.05,5.859876,0,-0.041069,4.3888,8.586,5.572405,0,0.059087,0.9418,9.7562,5.933703,0,-0.018018,7.8606,1.2811
106,1.06,5.869468,0,-0.040756,4.3888,8.586,5.583493,0,0.058846,0.9418,9.7562,5.944522,0,-0.018089,7.8606,1.2811
107,1.07,5.879064,0,-0.040445,4.3888,8.586,5.594579,0,0.058605,0.9418,9.7562,5.95534,0,-0.018161,7.8606,1.2811
108,1.08,5.888663,0,-0.040134,4.3888,8.586,5.605663,0,0.058366,0.9418,9.7562,5.966158,0,-0.018232,7.8606,1.2811
109,1.09,5.898264,0,-0.039824,4.3888,8.586,5.616744,0,0.058127,0.9418,9.7562,5.976975,0,-0.018303,7.8606,1.2811
110,1.1,5.907869,0,-0.039515,4.3888,8.586,5.627823,0,0.057889,0.9418,9.7562,5.987791,0,-0.018374,7.8606,1.2811
111,1.11,5.917477,0,-0.039207,4.3888,8.586,5.6389,0,0.057652,0.9418,9.7562,5.998607,0,-0.018445,7.8606,1.2811
112,1.12,5.927088,0,-0.038901,4.3888,8.586,5.649974,0,0.057416,0.9418,9.7562,6.009422,0,-0.018515,7.8606,1.2811
113,1.13,5.936702,0,-0.038595,4.3888,8.586,5.661045,0,0.05718,0.9418,9.7562,6.020236,0,-0.018585,7.8606,1.2811
114,1.14,5.946319,0,-0.03829,4.3888,8.586,5.672115,0,0.056945,0.9418,9.7562,6.031049,0,-0.018655,7.8606,1.2811
115,1.15,5.95594,0,-0.037986,4.3888,8.586,5.683182,0,0.056711,0.9418,9.7562,6.041862,0,-0.018725,7.8606,1.2811
116,1.16,5.965563,0,-0.037683,4.3888,8.586,5.694247,0,0.056478,0.9418,9.7562,6.052674,0,-0.018795,7.8606,1.2811
117,1.17,5.975189,0,-0.037382,4.3888,8.586,5.705309,0,0.056246,0.9418,9.7562,6.063485,0,-0.018864,7.8606,1.2811
118,1.18,5.984818,0,-0.037081,4.3888,8.586,5.716369,0,0.056014,0.9418,9.7562,6.074296,0,-0.018934,7.8606,1.2811
119,1.19,5.99445,0,-0.036781,4.3888,8.586,5.727427,0,0.055784,0.9418,9.7562,6.085106,0,-0.019003,7.8606,1.2811
120,1.2,6.004085,0,-0.036482,4.3888,8.586,5.738483,0,0.055554,0.9418,9.7562,6.095915,0,-0.019072,7.8606,1.2811
121,1.21,6.013724,0,-0.036184,4.3888,8.586,5.749536,0,0.055324,0.9418,9.7562,6.106724,0,-0.01914,7.8606,1.2811
122,1.22,6.023365,0,-0.035887,4.3888,8.586,5.760587,0,0.055096,0.9418,9.7562,6.117532,0,-0.019209,7.8606,1.2811
123,1.23,6.033009,0,-0.035591,4.3888,8.586,5.771636,0,0.054869,0.9418,9.7562,6.128339,0,-0.019277,7.8606,1.2811
124,1.24,6.042656,0,-0.035296,4.3888,8.586,5.782682,0,0.054642,0.9418,9.7562,6.139146,0,-0.019345,7.8606,1.2811
125,1.25,6.052306,0,-0.035003,4.3888,8.586,5.793726,0,0.054416,0.9418,9.7562,6.149952,0,-0.019413,7.8606,1.2811
126,1.26,6.061959,0,-0.03471,4.3888,8.586,5.804768,0,0.05419,0.9418,9.7562,6.160757,0,-0.019481,7.8606,1.2811
127,1.27,6.071615,0,-0.034418,4.3888,8.586,5.815808,0,0.053966,0.9418,9.7562,6.171561,0,-0.019548,7.8606,1.2811
128,1.28,6.081273,0,-0.034127,4.3888,8.586,5.826845,0,0.053742,0.9418,9.7562,6.182365,0,-0.019616,7.8606,1.2811
129,1.29,6.090935,0,-0.033836,4.3888,8.586,5.83788,0,0.053519,0.9418,9.7562,6.193168,0,-0.019683,7.8606,1.2811
130,1.3,6.100599,0,-0.033547,4.3888,8.586,5.848913,0,0.053297,0.9418,9.7562,6.203971,0,-0.01975,7.8606,1.2811
131,1.31,6.110267,0,-0.033259,4.3888,8.586,5.859944,0,0.053076,0.9418,9.7562,6.214773,0,-0.019817,7.8606,1.2811
132,1.32,6.119937,0,-0.032972,4.3888,8.586,5.870973,0,0.052855,0.9418,9.7562,6.225574,0,-0.019883,7.8606,1.2811
133,1.33,6.12961,0,-0.032686,4.3888,8.586,5.881999,0,0.052636,0.9418,9.7562,6.236374,0,-0.01995,7.8606,1.2811
134,1.34,6.139286,0,-0.032401,4.3888,8.586,5.893023,0,0.052416,0.9418,9.7562,6.247174,0,-0.020016,7.8606,1.2811
135,1.35,6.148965,0,-0.032116,4.3888,8.586,5.904045,0,0.052198,0.9418,9.7562,6.257973,0,-0.020082,7.8606,1.2811
136,1.36,6.158647,0,-0.031833,4.3888,8.586,5.915065,0,0.051981,0.9418,9.7562,6.268772,0,-0.020148,7.8606,1.2811
137,1.37,6.168331,0,-0.031551,4.3888,8.586,5.926083,0,0.051764,0.9418,9.7562,6.27957,0,-0.020213,7.8606,1.2811
138,1.38,6.178019,0,-0.031269,4.3888,8.586,5.937098,0,0.051548,0.9418,9.7562,0.007182,1,-0.020279,7.8606,1.2811
139,1.39,6.187709,0,-0.030989,4.3888,8.586,5.948111,0,0.051333,0.9418,9.7562,0.017978,0,-0.020344,7.8606,1.2811
140,1.4,6.197402,0,-0.030709,4.3888,8.586,5.959123,0,0.051118,0.9418,9.7562,0.028774,0,-0.020409,7.8606,1.2811
141,1.41,6.207097,0,-0.03043,4.3888,8.586,5.970132,0,0.050905,0.9418,9.7562,0.039569,0,-0.020474,7.8606,1.2811
