t_s,frequency_hz,phase_rad,fire_count,received_pi_flashes,feedback_enabled,flash_on,raw_flash_on
6.621686,2.10184023534033,2.0783491941235623,13,34,True,True,False
6.826988,2.10993431663128,4.700785786872814,13,36,True,False,False
7.012276,2.10993431663128,1.0425079225728167,14,36,True,True,True
7.202832,2.10993431663128,3.229930791639141,14,37,True,False,False
7.417269,2.1179801349760714,0.0356891550440368,15,38,True,True,True
7.635653,2.1179801349760714,2.670606164710055,15,39,True,True,False
7.801725,2.125935126113959,4.873762687330871,15,40,True,False,False
8.002698,2.125935126113959,1.2353909611376954,16,41,True,True,True
8.202423,2.13380566909837,3.8822950693804597,16,42,True,False,False
8.434414,2.13380566909837,0.6961490371740683,17,43,True,True,True
8.601519,2.1415771713880623,2.905355894380039,17,44,True,True,False
8.827714,2.1415771713880623,6.013674850612533,17,45,True,False,False
9.012536,2.1492183215362224,2.394458901331307,18,46,True,True,False
9.202733,2.1492183215362224,4.622608502997904,18,47,True,False,False
9.420988,2.1567446589471624,1.466475074313687,19,48,True,True,True
9.623762,2.1641428819460993,4.1567754740600815,19,50,True,False,False
9.802598,2.1641428819460993,0.1172124420298637,20,50,True,True,True
10.019077,2.1714090205234378,3.2761092995301757,20,52,True,True,False
10.222176,2.1714090205234378,5.9774956197489315,20,52,True,False,False
10.441613,2.1785252500168895,2.848804513246219,21,54,True,True,False
10.601677,2.1785252500168895,4.655630788420032,21,54,True,False,False
10.817889,2.1855082643175567,1.530555358614099,22,56,True,True,True
11.002327,2.1855082643175567,3.796327672102238,22,56,True,False,False
11.203426,2.1855082643175567,0.23206914110842103,23,57,True,True,True
11.401932,2.1923415974144946,2.9522704307233174,23,58,True,True,False
11.602977,2.1923415974144946,5.679698356335605,23,59,True,False,False
11.801539,2.1990278522160613,2.1268206264385583,24,60,True,True,False
12.028199,2.1990278522160613,5.318524408887888,24,61,True,False,False
12.213413,2.2055696993621248,1.7766603863090062,25,62,True,True,True
12.402517,2.2055696993621248,4.063230902592785,25,63,True,False,False
12.61992,2.2119698529952014,0.9952915910553779,26,64,True,True,True
12.83849,2.2119698529952014,3.7471384541475787,26,65,True,False,False
13.011534,2.218231051203356,0.23546880064832898,27,66,True,True,True
13.215342,2.218231051203356,2.9951050369207195,27,67,True,True,False
13.416616,2.22437121727104,5.7829616210016646,27,68,True,False,False
13.603,2.22437121727104,1.8058388445837221,28,69,True,True,True
13.801758,2.2303899969620766,4.587769243420649,28,70,True,False,False
14.014107,2.2303899969620766,1.5418072312835174,29,71,True,True,False
14.201727,2.236272415440732,3.857703708290492,29,72,True,False,False
14.422619,2.236272415440732,0.8202795313105448,30,73,True,True,True
14.625813,2.2420139180479635,3.6021493122444057,30,74,True,True,False
14.80284,2.2420139180479635,5.9265024821256365,30,75,True,False,False
15.001738,2.2476577894584273,2.433028533081372,31,76,True,True,False
15.220318,2.2476577894584273,5.695314575087043,31,77,True,False,False
15.401806,2.253162912915035,1.7430958716819926,32,78,True,True,True
15.60296,2.253162912915035,4.546189813285714,32,79,True,False,False
15.814091,2.258573085025531,1.0737437211695393,33,80,True,True,True
16.002482,2.258573085025531,3.8835682993282297,33,81,True,False,False
16.201794,2.263869185882297,0.42505255289401944,34,82,True,True,True
16.435385,2.263869185882297,3.710868071905952,34,83,True,False,False
16.601531,2.2690528453326513,6.078073546351478,34,84,True,False,False
16.827178,2.2690528453326513,3.0882274034427737,35,85,True,True,False
17.001631,2.2739667811699182,5.468302097527807,35,86,True,False,False
17.217619,2.2739667811699182,2.014092214703555,36,87,True,True,False
17.421983,2.278804318223523,4.857031728475333,36,88,True,False,False
17.602735,2.278804318223523,1.408840083715234,37,89,True,True,True
17.801755,2.283561386101984,4.248399276783502,37,90,True,False,False
18.028007,2.2880760145186585,1.274199620402857,38,92,True,True,True
18.202505,2.2880760145186585,3.646306543764911,38,92,True,True,False
18.402496,2.2880760145186585,0.2096495446197899,39,93,True,True,True
18.616851,2.2925376687023946,3.0537379288464686,39,94,True,True,False
18.822344,2.2925376687023946,5.905816850083502,39,95,True,False,False
19.001367,2.2969390968830448,2.47322927733832,40,96,True,True,False
19.202646,2.2969390968830448,5.330783886372656,40,97,True,False,False
19.40162,2.301274738548504,1.9067172201325582,41,98,True,True,True
19.616958,2.301274738548504,4.769665673888797,41,99,True,False,False
19.801573,2.305540408435148,1.3556519248078733,42,100,True,True,True
