agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7143,,64.0,0,,22.20329
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8239,,105.0,1,,22.20329
P0,,,pi_flash,1.861803,,,,0.192357,,,,22.636749
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,22.636749,22.636749
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7143,,64.0,0,,22.743111
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8238,,105.0,1,,22.743111
P0,,,pi_flash,1.862283,,,,0.041413,,,,23.17061
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,23.17061,23.17061
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7031,,63.0,0,,23.370726
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6953,,90.0,1,,23.370726
P0,,,pi_flash,1.862582,,,,0.377474,,,,23.764395
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,23.764395,23.764395
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7778,,67.0,0,,23.938426
V1,,0,pi_detected_virtual_flash,,0.0,1,0.6834,,88.0,1,,23.938426
P0,,,pi_flash,1.85369,,,,0.29969,,,,24.338012
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,24.338012,24.338012
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9076,,75.0,0,,24.477025
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7798,,95.0,1,,24.477025
P0,,,pi_flash,1.849859,,,,0.17521,,,,24.905179
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,24.905179,24.905179
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8402,,70.0,0,,25.021546
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9292,,111.0,1,,25.021546
P0,,,pi_flash,1.848881,,,,0.360588,,,,25.472108
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,25.472108,25.472108
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9328,,75.0,0,,25.672757
V1,,0,pi_detected_virtual_flash,,0.0,1,0.7944,,95.0,1,,25.672757
