elapsed_ms,endpoint,error,monotonic_time_s,ok
12.008,GET /api/agents,,18344.372162,1
15.011,GET /api/agents,,18344.606845,1
24.156,GET /api/agents,,18344.839402,1
10.543,POST /api/pi_flash,,18344.999345,1
8.199,GET /api/agents,,18345.040201,1
19.943,GET /api/agents,,18345.273761,1
10.314,GET /api/agents,,18345.506358,1
9.42,POST /api/pi_flash,,18345.599894,1
74.248,GET /api/agents,,18345.70758,1
35.503,GET /api/agents,,18345.907502,1
11.485,GET /api/agents,,18346.140169,1
17.341,POST /api/pi_flash,,18346.233568,1
21.092,GET /api/agents,,18346.34128,1
10.019,GET /api/agents,,18346.541337,1
15.127,GET /api/agents,,18346.773943,1
8.274,POST /api/pi_flash,,18346.900806,1
9.004,GET /api/agents,,18347.008409,1
12.211,GET /api/agents,,18347.207684,1
10.038,GET /api/agents,,18347.441046,1
9.08,POST /api/pi_flash,,18347.567714,1
12.023,GET /api/agents,,18347.642202,1
19.742,GET /api/agents,,18347.84204,1
9.027,GET /api/agents,,18348.074872,1
8.695,POST /api/pi_flash,,18348.234892,1
6.418,GET /api/agents,,18348.276147,1
14.413,GET /api/agents,,18348.509611,1
9.033,GET /api/agents,,18348.741898,1
10.866,POST /api/pi_flash,,18348.868724,1
10.975,GET /api/agents,,18348.941967,1
14.769,GET /api/agents,,18349.143346,1
20.1,GET /api/agents,,18349.37556,1
9.684,POST /api/pi_flash,,18349.535832,1
8.055,GET /api/agents,,18349.579282,1
34.784,GET /api/agents,,18349.810124,1
53.69,GET /api/agents,,18350.042676,1
11.081,POST /api/pi_flash,,18350.236314,1
9.039,GET /api/agents,,18350.276074,1
10.738,GET /api/agents,,18350.510466,1
226.795,GET /api/agents,,18350.743267,1
99.39,POST /api/pi_flash,,18351.071735,1
8.514,GET /api/agents,,18351.171138,1
1185.494,GET /api/agents,,18351.210983,1
68.385,POST /api/pi_flash,,18352.471283,1
6.508,GET /api/agents,,18352.53968,1
226.974,GET /api/agents,,18352.645392,1
172.335,POST /api/pi_flash,,18352.971295,1
8.923,GET /api/agents,,18353.143643,1
117.89,GET /api/agents,,18353.17854,1
1235.954,POST /api/pi_flash,,18353.439216,1
151.941,POST /api/pi_flash,,18354.78167,1
121.48,GET /api/agents,,18354.933624,1
51.541,GET /api/agents,,18355.079114,1
604.624,POST /api/pi_flash,,18355.372786,1
7.731,GET /api/agents,,18355.977425,1
10.059,POST /api/pi_flash,,18356.074287,1
9.456,GET /api/agents,,18356.084357,1
10.755,GET /api/agents,,18356.246635,1
13.091,GET /api/agents,,18356.480325,1
12.118,POST /api/pi_flash,,18356.707149,1
6.241,GET /api/agents,,18356.747891,1
8.867,GET /api/agents,,18356.981022,1
47.113,GET /api/agents,,18357.213961,1
9.492,POST /api/pi_flash,,18357.40774,1
7.898,GET /api/agents,,18357.447659,1
23.354,GET /api/agents,,18357.68196,1
17.359,GET /api/agents,,18357.914596,1
8.91,POST /api/pi_flash,,18358.141348,1
8.922,POST /api/pi_flash,,18358.241583,1
7.705,GET /api/agents,,18358.250516,1
11.422,GET /api/agents,,18358.415714,1
11.521,GET /api/agents,,18358.648198,1
8.937,POST /api/pi_flash,,18358.908406,1
6.076,GET /api/agents,,18358.917355,1
11.015,GET /api/agents,,18359.049681,1
13.561,GET /api/agents,,18359.282248,1
16.7,GET /api/agents,,18359.515397,1
8.256,POST /api/pi_flash,,18359.709179,1
5.759,GET /api/agents,,18359.749318,1
12.176,GET /api/agents,,18359.983518,1
12.324,GET /api/agents,,18360.216283,1
9.718,GET /api/agents,,18360.416486,1
21.737,POST /api/pi_flash,,18360.509872,1
10.486,GET /api/agents,,18360.617923,1
11.105,GET /api/agents,,18360.849901,1
15.679,GET /api/agents,,18361.050187,1
9.031,POST /api/pi_flash,,18361.277987,1
5.945,GET /api/agents,,18361.317775,1
9.205,GET /api/agents,,18361.550364,1
12.527,GET /api/agents,,18361.750436,1
10.413,POST /api/pi_flash,,18362.012164,1
6.661,GET /api/agents,,18362.022588,1
15.367,GET /api/agents,,18362.151799,1
13.979,GET /api/agents,,18362.38429,1
8.535,GET /api/agents,,18362.617695,1
10.894,POST /api/pi_flash,,18362.77803,1
5.393,GET /api/agents,,18362.818886,1
10.162,GET /api/agents,,18363.051325,1
15.527,GET /api/agents,,18363.251385,1
8.697,GET /api/agents,,18363.451638,1
8.297,POST /api/pi_flash,,18363.545192,1
23.804,GET /api/agents,,18363.652965,1
14.851,GET /api/agents,,18363.885197,1
10.212,GET /api/agents,,18364.08551,1
8.633,POST /api/pi_flash,,18364.312316,1
6.521,GET /api/agents,,18364.353297,1
10.012,GET /api/agents,,18364.586598,1
13.195,GET /api/agents,,18364.819105,1
11.206,POST /api/pi_flash,,18365.079647,1
8.672,GET /api/agents,,18365.090864,1
13.418,GET /api/agents,,18365.253807,1
10.91,GET /api/agents,,18365.486379,1
9.984,GET /api/agents,,18365.686325,1
11.645,POST /api/pi_flash,,18365.880053,1
7.852,GET /api/agents,,18365.920805,1
13.113,GET /api/agents,,18366.154493,1
12.386,GET /api/agents,,18366.386662,1
8.787,POST /api/pi_flash,,18366.647094,1
10.818,GET /api/agents,,18366.655892,1
13.151,GET /api/agents,,18366.788103,1
12.026,GET /api/agents,,18367.020714,1
12.475,GET /api/agents,,18367.254086,1
9.631,POST /api/pi_flash,,18367.447583,1
10.279,GET /api/agents,,18367.487434,1
12.465,GET /api/agents,,18367.722207,1
11.577,GET /api/agents,,18367.954618,1
12.553,GET /api/agents,,18368.154706,1
10.823,POST /api/pi_flash,,18368.248255,1
12.19,GET /api/agents,,18368.355758,1
9.898,GET /api/agents,,18368.555983,1
13.425,GET /api/agents,,18368.788497,1
7.877,POST /api/pi_flash,,18369.048731,1
6.75,GET /api/agents,,18369.056619,1
9.515,GET /api/agents,,18369.190117,1
14.645,GET /api/agents,,18369.422437,1
24.833,GET /api/agents,,18369.622295,1
9.89,POST /api/pi_flash,,18369.849386,1
11.866,GET /api/agents,,18369.890111,1
9.897,GET /api/agents,,18370.093686,1
12.595,GET /api/agents,,18370.322688,1
15.822,GET /api/agents,,18370.522752,1
8.664,POST /api/pi_flash,,18370.616417,1
8.873,GET /api/agents,,18370.723097,1
16.788,GET /api/agents,,18370.923888,1
21.827,GET /api/agents,,18371.156798,1
10.033,GET /api/agents,,18371.356843,1
9.405,POST /api/pi_flash,,18371.450249,1
9.045,GET /api/agents,,18371.556934,1
11.613,GET /api/agents,,18371.758852,1
11.62,GET /api/agents,,18371.990714,1
8.287,GET /api/agents,,18372.190765,1
20.17,POST /api/pi_flash,,18372.350856,1
12.651,GET /api/agents,,18372.391876,1
14.191,GET /api/agents,,18372.625419,1
9.953,GET /api/agents,,18372.857764,1
10.171,GET /api/agents,,18373.057866,1
8.259,POST /api/pi_flash,,18373.151338,1
8.697,GET /api/agents,,18373.259453,1
9.566,GET /api/agents,,18373.492296,1
13.577,POST /api/stabilizer/config,,18374.062464,1
7.592,POST /api/pause,,18374.076049,1
