t_s,agent_id,model,phase,frequency_hz,is_firing
38.07,0,eapf,4.772278,1.5,0
38.08,0,eapf,4.866526,1.5,0
38.09,0,eapf,4.960774,1.5,0
38.1,0,eapf,5.055022,1.5,0
38.11,0,eapf,5.149269,1.5,0
38.12,0,eapf,5.243517,1.5,0
38.13,0,eapf,5.337765,1.5,0
38.14,0,eapf,5.432013,1.5,0
38.15,0,eapf,5.52626,1.5,0
38.16,0,eapf,5.620508,1.5,0
38.17,0,eapf,5.714756,1.5,0
38.18,0,eapf,5.809004,1.5,0
38.19,0,eapf,5.903252,1.5,0
38.2,0,eapf,5.997499,1.5,0
38.21,0,eapf,6.091747,1.5,0
38.22,0,eapf,6.185995,1.5,0
38.23,0,eapf,6.280243,1.5,0
38.24,0,eapf,0.091305,1.5,1
38.25,0,eapf,0.185553,1.5,0
38.26,0,eapf,0.279801,1.5,0
38.27,0,eapf,0.374049,1.5,0
38.28,0,eapf,0.468296,1.5,0
38.29,0,eapf,0.562544,1.5,0
38.3,0,eapf,0.656792,1.5,0
38.31,0,eapf,0.75104,1.5,0
38.32,0,eapf,0.845287,1.5,0
38.33,0,eapf,0.939535,1.5,0
38.34,0,eapf,1.033783,1.5,0
38.35,0,eapf,1.128031,1.5,0
38.36,0,eapf,1.222279,1.5,0
38.37,0,eapf,1.316526,1.5,0
38.38,0,eapf,1.410774,1.5,0
38.39,0,eapf,1.505022,1.5,0
38.4,0,eapf,1.59927,1.5,0
38.41,0,eapf,1.693517,1.5,0
38.42,0,eapf,1.787765,1.5,0
38.43,0,eapf,1.882013,1.5,0
38.44,0,eapf,1.976261,1.5,0
38.45,0,eapf,2.070509,1.5,0
38.46,0,eapf,2.164756,1.5,0
38.47,0,eapf,2.259004,1.5,0
38.48,0,eapf,2.353252,1.5,0
38.49,0,eapf,2.4475,1.5,0
38.5,0,eapf,2.541747,1.5,0
38.51,0,eapf,2.635995,1.5,0
38.52,0,eapf,2.730243,1.5,0
38.53,0,eapf,2.824491,1.5,0
38.54,0,eapf,2.918739,1.5,0
38.55,0,eapf,3.012986,1.5,0
38.56,0,eapf,3.107234,1.5,0
38.57,0,eapf,3.201482,1.5,0
38.58,0,eapf,3.29573,1.5,0
38.59,0,eapf,3.389977,1.5,0
38.6,0,eapf,3.484225,1.5,0
38.61,0,eapf,3.578473,1.5,0
38.62,0,eapf,3.672721,1.5,0
38.63,0,eapf,3.766969,1.5,0
38.64,0,eapf,3.861216,1.5,0
38.65,0,eapf,3.955464,1.5,0
38.66,0,eapf,4.049712,1.5,0
38.67,0,eapf,4.14396,1.5,0
38.68,0,eapf,4.238207,1.5,0
38.69,0,eapf,4.332455,1.5,0
38.7,0,eapf,4.426703,1.5,0
38.71,0,eapf,4.520951,1.5,0
38.72,0,eapf,4.615199,1.5,0
38.73,0,eapf,4.709446,1.5,0
38.74,0,eapf,4.803694,1.5,0
38.75,0,eapf,4.897942,1.5,0
38.76,0,eapf,4.99219,1.5,0
38.77,0,eapf,5.086437,1.5,0
38.78,0,eapf,5.180685,1.5,0
38.79,0,eapf,5.274933,1.5,0
38.8,0,eapf,5.369181,1.5,0
38.81,0,eapf,5.463429,1.5,0
38.82,0,eapf,5.557676,1.5,0
38.83,0,eapf,5.651924,1.5,0
38.84,0,eapf,5.746172,1.5,0
38.85,0,eapf,5.84042,1.5,0
38.86,0,eapf,5.934668,1.5,0
38.87,0,eapf,6.028915,1.5,0
38.88,0,eapf,6.123163,1.5,0
38.89,0,eapf,6.217411,1.5,0
38.9,0,eapf,0.028473,1.5,1
38.91,0,eapf,0.122721,1.5,0
38.92,0,eapf,0.216969,1.5,0
38.93,0,eapf,0.311217,1.5,0
38.94,0,eapf,0.405464,1.5,0
38.95,0,eapf,0.499712,1.5,0
38.96,0,eapf,0.59396,1.5,0
38.97,0,eapf,0.688208,1.5,0
38.98,0,eapf,0.782456,1.5,0
38.99,0,eapf,0.876703,1.5,0
39.0,0,eapf,0.970951,1.5,0
39.01,0,eapf,1.065199,1.5,0
39.02,0,eapf,1.159447,1.5,0
39.03,0,eapf,1.253694,1.5,0
39.04,0,eapf,1.347942,1.5,0
39.05,0,eapf,1.44219,1.5,0
39.06,0,eapf,1.536438,1.5,0
39.07,0,eapf,1.630686,1.5,0
39.08,0,eapf,1.724933,1.5,0
39.09,0,eapf,1.819181,1.5,0
39.1,0,eapf,1.913429,1.5,0
39.11,0,eapf,2.007677,1.5,0
39.12,0,eapf,2.101924,1.5,0
39.13,0,eapf,2.196172,1.5,0
39.14,0,eapf,2.29042,1.5,0
39.15,0,eapf,2.384668,1.5,0
39.16,0,eapf,2.478916,1.5,0
39.17,0,eapf,2.573163,1.5,0
39.18,0,eapf,2.667411,1.5,0
39.19,0,eapf,2.761659,1.5,0
39.2,0,eapf,2.855907,1.5,0
39.21,0,eapf,2.950154,1.5,0
39.22,0,eapf,3.044402,1.5,0
39.23,0,eapf,3.13865,1.5,0
39.24,0,eapf,3.232898,1.5,0
39.25,0,eapf,3.327146,1.5,0
39.26,0,eapf,3.421393,1.5,0
39.27,0,eapf,3.515641,1.5,0
39.28,0,eapf,3.609889,1.5,0
39.29,0,eapf,3.704137,1.5,0
39.3,0,eapf,3.798385,1.5,0
39.31,0,eapf,3.892632,1.5,0
39.32,0,eapf,3.98688,1.5,0
39.33,0,eapf,4.081128,1.5,0
39.34,0,eapf,4.175376,1.5,0
