K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
3.0,0,0.08630076,0.871724851,0.033,0.413869948,4,1,1,2.416217957,2.416832882,0.415951451,0.996967866,0.439247347,6.221441664,0.500990991,0.500990991,0,1.570685,phase_jump_gt_0.5rad,1.058711509
3.0,0,0.086178873,0.870493665,0.033,0.413970664,4,0,0,2.415630109,2.416217957,0.415951451,1.495451798,0.94011645,0.439247347,0.500869103,0.500869103,0,1.604201,phase_jump_gt_0.5rad,1.056204451
3.0,0,0.086062409,0.869317258,0.033,0.414066945,4,0,0,2.415068416,2.415630109,0.415951451,1.993935731,1.440869089,0.94011645,0.500752639,0.500752639,0,1.637616,phase_jump_gt_0.5rad,1.053819281
3.0,0,0.085951177,0.868193704,0.033,0.414158941,4,0,0,2.414531959,2.415068416,0.415951451,2.492419664,1.941510496,1.440869089,0.500641407,0.500641407,0,1.670921,phase_jump_gt_0.5rad,1.051550575
3.0,0,0.085844988,0.86712109,0.033,0.414246805,4,0,0,2.414019823,2.414531959,0.415951451,2.990903597,2.442045714,1.941510496,0.500535218,0.500535218,0,1.704482,phase_jump_gt_0.5rad,1.049393101
3.0,0,0.085743655,0.866097527,0.033,0.414330686,4,0,0,2.413531108,2.414019823,0.415951451,3.489387529,2.942479599,2.442045714,0.500433885,0.500433885,0,1.738015,phase_jump_gt_0.5rad,1.047341815
3.0,0,0.085646994,0.865121148,0.033,0.414410732,4,0,0,2.413064921,2.413531108,0.415951451,3.987871462,3.442816823,2.942479599,0.500337224,0.500337224,0,1.771548,phase_jump_gt_0.5rad,1.045391863
3.0,0,0.085554822,0.864190121,0.033,0.414487088,4,0,0,2.412620388,2.413064921,0.415951451,4.486355395,3.943061876,3.442816823,0.500245052,0.500245052,0,1.804909,phase_jump_gt_0.5rad,1.043538572
3.0,0,0.085466962,0.863302647,0.033,0.414559899,4,0,0,2.412196651,2.412620388,0.415951451,4.984839328,4.443219068,3.943061876,0.500157192,0.500157192,0,1.838338,phase_jump_gt_0.5rad,1.041777452
3.0,0,0.08538324,0.862456967,0.033,0.414629305,4,0,0,2.411792868,2.412196651,0.415951451,5.483323261,4.943292538,4.443219068,0.50007347,0.50007347,0,1.871729,phase_jump_gt_0.5rad,1.040104193
3.0,0,0.085303485,0.861651365,0.033,0.414695443,4,0,0,2.411408222,2.411792868,0.415951451,5.981807193,5.443286253,4.943292538,0.499993715,0.499993715,0,1.905278,,1.038514655
3.0,0,0.085227533,0.860884167,0.033,0.414758447,4,0,0,2.411041912,2.411408222,0.415951451,0.197105819,5.943204016,5.443286253,0.499917763,0.499917763,0,1.9389,,1.037004873
3.0,0,0.085155221,0.860153748,0.033,0.41481845,5,1,1,2.410693163,2.411041912,0.415951451,0.695589752,0.15986416,5.943204016,0.499845451,0.499845451,0,1.972456,,1.035571043
3.0,0,0.085086394,0.859458529,0.033,0.414875576,5,0,0,2.41036122,2.410693163,0.415951451,1.194073684,0.659640785,0.15986416,0.499776625,0.499776625,0,2.006006,,1.034209524
3.0,0,-0.015885557,-0.160460176,0.033,0.519916463,5,0,0,1.92338591,2.41036122,0.415951451,0.498483933,1.058445458,0.659640785,0.398804673,0.398804673,1,2.039551,,-0.161156852
3.0,0,-0.006082449,-0.061438874,0.033,0.507442894,5,0,0,1.970665099,1.92338591,0.415951451,0.996967866,1.46705324,1.058445458,0.408607782,0.408607782,0,2.072718,,-0.061477592
3.0,0,0.002811079,0.028394742,0.033,0.496633448,5,0,0,2.01355749,1.970665099,0.415951451,1.495451798,1.884554549,1.46705324,0.41750131,0.41750131,0,2.106295,,0.028398559
3.0,0,0.010807157,0.109163202,0.033,0.48730056,5,0,0,2.052121589,2.01355749,0.415951451,1.993935731,2.310051937,1.884554549,0.425497387,0.425497387,0,2.139824,,0.109381182
3.0,0,0.017954496,0.181358543,0.033,0.479250301,5,0,0,2.086592326,2.052121589,0.415951451,2.492419664,2.742696663,2.310051937,0.432644726,0.432644726,0,2.17334,,0.182367727
3.0,0,0.024320958,0.245666239,0.033,0.472300299,5,0,0,2.117296989,2.086592326,0.415951451,2.990903597,3.181707851,2.742696663,0.439011188,0.439011188,0,2.206576,,0.248206934
3.0,0,0.029981962,0.302848098,0.033,0.466287568,5,0,0,2.144599315,2.117296989,0.415951451,3.489387529,3.626380042,3.181707851,0.444672192,0.444672192,0,2.240112,,0.307679679
3.0,0,0.035013296,0.353669656,0.033,0.46107069,5,0,0,2.168864822,2.144599315,0.415951451,3.987871462,4.076083569,3.626380042,0.449703526,0.449703526,0,2.273629,,0.36149142
3.0,0,0.039487002,0.398858611,0.033,0.456529082,5,0,0,2.190440959,2.168864822,0.415951451,4.486355395,4.530260801,4.076083569,0.454177233,0.454177233,0,2.306946,,0.410271826
3.0,0,0.043469284,0.439083681,0.033,0.452560972,5,0,0,2.209647015,2.190440959,0.415951451,4.984839328,4.988420316,4.530260801,0.458159515,0.458159515,0,2.340563,,0.454578526
3.0,0,0.047019678,0.474946243,0.033,0.44908093,5,0,0,2.226770127,2.209647015,0.415951451,5.483323261,5.450130224,4.988420316,0.461709908,0.461709908,0,2.373771,,0.494902944
3.0,0,0.050190973,0.50697953,0.033,0.44601742,5,0,0,2.242064895,2.226770127,0.415951451,5.981807193,5.915011428,5.450130224,0.464881204,0.464881204,0,2.407298,,0.531676969
3.0,0,0.05302955,0.535652025,0.033,0.443310554,6,1,1,2.255755003,2.242064895,0.415951451,0.197105819,0.099545902,5.915011428,0.467719781,0.467719781,0,2.440825,,0.565279698
3.0,0,0.055575918,0.561372912,0.033,0.440910144,6,0,0,2.268035821,2.255755003,0.415951451,0.695589752,0.56981205,0.099545902,0.470266149,0.470266149,0,2.474336,,0.59604385
3.0,0,0.057865334,0.584498326,0.033,0.438774042,6,0,0,2.279077393,2.268035821,0.415951451,1.194073684,1.042367615,0.56981205,0.472555565,0.472555565,0,2.507421,,0.624261634
3.0,0,-0.058017564,-0.586035995,0.033,0.581331665,6,0,0,1.720188424,2.279077393,0.498174765,0.416209591,1.399040282,1.042367615,0.356672667,0.356672667,1,2.540952,frequency_step_gt_0.5hz,-0.626158024
3.0,0,-0.053141643,-0.536784274,0.033,0.573491704,6,0,0,1.743704388,1.720188424,0.498174765,0.832419182,1.760588869,1.399040282,0.361548587,0.361548587,0,2.57458,,-0.5666211
3.0,0,-0.04849881,-0.489886971,0.033,0.566220571,6,0,0,1.766096201,1.743704388,0.498174765,1.248628773,2.126780289,1.760588869,0.36619142,0.36619142,0,2.608107,,-0.511960096
3.0,0,-0.044123046,-0.445687336,0.033,0.559534476,6,0,0,1.787199972,1.766096201,0.498174765,1.664838364,2.497347473,2.126780289,0.370567184,0.370567184,0,2.641499,,-0.461941925
3.0,0,-0.040033501,-0.4043788,0.033,0.553426908,6,0,0,1.806923345,1.787199972,0.498174765,2.081047954,2.872004202,2.497347473,0.374656729,0.374656729,0,2.674879,,-0.416299518
3.0,0,-0.036237641,-0.366036779,0.033,0.547876065,6,0,0,1.825230312,1.806923345,0.498174765,2.497257545,3.250456791,2.872004202,0.378452589,0.378452589,0,2.708202,,-0.374746657
3.0,0,-0.032734109,-0.330647568,0.033,0.542850615,6,0,0,1.842127415,1.825230312,0.498174765,2.913467136,3.632412912,3.250456791,0.381956121,0.381956121,0,2.741614,,-0.336989655
3.0,0,-0.029515174,-0.298133074,0.033,0.538313974,6,0,0,1.857651943,1.842127415,0.498174765,3.329676727,4.017587968,3.632412912,0.385175056,0.385175056,0,2.775235,,-0.302736185
3.0,0,-0.026568734,-0.26837105,0.033,0.534227341,6,0,0,1.871862262,1.857651943,0.498174765,3.745886318,4.405709464,4.017587968,0.388121496,0.388121496,0,2.80855,,-0.27170165
3.0,0,-0.023879894,-0.24121105,0.033,0.530551769,6,0,0,1.884830207,1.871862262,0.498174765,4.162095909,4.796519801,4.405709464,0.390810336,0.390810336,0,2.841719,,-0.243613555
