common_frequency_hz,f_lock_hz,frequency_disagreement_hz,lock_acquired,lock_hold_enabled,lock_hold_state,lock_time_s,mean_pairwise_phase_error_cycles,order_parameter_R,relock_count,t_s,unlock_count
2.579616,,0.002566,0,1,acquisition,,0.029168,0.991622,0,31.143726,0
2.574055,,0.005846,0,1,acquisition,,0.036489,0.986903,0,31.377286,0
2.571729,,0.01683,0,1,acquisition,,0.088431,0.924323,0,31.609745,0
2.570325,,0.02451,0,1,acquisition,,0.015145,0.997738,0,31.810783,0
2.56747,,0.040034,0,1,acquisition,,0.005928,0.999653,0,32.118974,0
2.561283,,0.048405,0,1,acquisition,,0.013907,0.998092,0,32.344537,0
2.556675,,0.048459,0,1,acquisition,,0.005982,0.999647,0,32.554637,0
2.548772,,0.056446,0,1,acquisition,,0.010203,0.998973,0,32.77825,0
2.543128,,0.059523,0,1,acquisition,,0.009187,0.999167,0,33.011514,0
2.536076,,0.065091,0,1,acquisition,,0.126557,0.848289,0,33.244134,0
2.530501,,0.06932,0,1,acquisition,,0.021115,0.995605,0,33.445394,0
2.517161,,0.078438,0,1,acquisition,,0.022675,0.994932,0,33.752799,0
2.50467,,0.090282,0,1,acquisition,,0.018861,0.996492,0,33.978816,0
2.495246,,0.093121,0,1,acquisition,,0.139926,0.816324,0,34.18158,0
2.487239,,0.100832,0,1,acquisition,,0.09458,0.913681,0,34.412566,0
2.482286,,0.10436,0,1,acquisition,,0.032945,0.989316,0,34.615857,0
2.477076,,0.119809,0,1,acquisition,,0.04238,0.982352,0,34.846065,0
2.475566,,0.129404,0,1,acquisition,,0.045309,0.979842,0,35.048586,0
2.469891,,0.139318,0,1,acquisition,,0.058047,0.967022,0,35.279785,0
2.465305,,0.141764,0,1,acquisition,,0.0605,0.964202,0,35.482897,0
2.456508,,0.143023,0,1,acquisition,,0.076047,0.943742,0,35.713262,0
2.449497,,0.139744,0,1,acquisition,,0.081742,0.935149,0,35.913277,0
2.442368,,0.138368,0,1,acquisition,,0.086004,0.928341,0,36.113662,0
2.435581,,0.133586,0,1,acquisition,,0.087454,0.925952,0,36.314625,0
2.425769,,0.126347,0,1,acquisition,,0.089885,0.921864,0,36.54725,0
2.418163,,0.118523,0,1,acquisition,,0.07755,0.941531,0,36.755338,0
2.407136,,0.108373,0,1,acquisition,,0.091962,0.91829,0,36.980045,0
2.396721,,0.096176,0,1,acquisition,,0.080382,0.937254,0,37.186411,0
2.383595,,0.080956,0,1,acquisition,,0.085354,0.9294,0,37.414402,0
2.373569,,0.067908,0,1,acquisition,,0.076714,0.942766,0,37.616548,0
2.36319,,0.054757,0,1,acquisition,,0.075362,0.944736,0,37.848101,0
2.3556,,0.044417,0,1,acquisition,,0.063487,0.960616,0,38.052516,0
2.34779,,0.03423,0,1,acquisition,,0.064795,0.958994,0,38.281645,0
2.342943,,0.027711,0,1,acquisition,,0.009142,0.999175,0,38.492556,0
2.33657,,0.020789,0,1,acquisition,,0.011377,0.998723,0,38.715512,0
2.331843,,0.015571,0,1,acquisition,,0.012599,0.998434,0,38.916347,0
2.326501,,0.011876,0,1,acquisition,,0.024059,0.994295,0,39.149085,0
2.322019,,0.008382,0,1,acquisition,,0.024869,0.993905,0,39.383603,0
2.3182,,0.005244,0,1,acquisition,,0.023173,0.994707,0,39.615638,0
2.315563,,0.002279,0,1,acquisition,,0.001068,0.999989,0,39.823891,0
2.312449,,0.000516,0,1,acquisition,,0.000836,0.999993,0,40.049677,0
2.310193,,0.001002,0,1,acquisition,,0.022904,0.994829,0,40.258169,0
2.307629,,0.001752,0,1,acquisition,,0.020508,0.995853,0,40.483212,0
2.305557,,0.00325,0,1,acquisition,,0.039241,0.98486,0,40.689665,0
2.300651,,0.007195,0,1,acquisition,,0.02829,0.992117,0,40.916725,0
2.296059,,0.01115,0,1,acquisition,,0.035422,0.987655,0,41.159034,0
2.294145,,0.010815,0,1,acquisition,,0.005799,0.999668,0,41.383596,0
2.290926,,0.014371,0,1,acquisition,,0.129052,0.842516,0,41.626173,0
2.285402,,0.021867,0,1,acquisition,,0.082784,0.933513,0,41.851023,0
2.279696,,0.029954,0,1,acquisition,,0.116139,0.871376,0,42.052926,0
2.276687,,0.033821,0,1,acquisition,,0.106543,0.891144,0,42.284252,0
2.27509,,0.035818,0,1,acquisition,,0.077601,0.941454,0,42.564716,0
2.270452,,0.039754,0,1,acquisition,,0.052802,0.972673,0,42.784711,0
2.264866,,0.047139,0,1,acquisition,,0.0614,0.96314,0,43.01477,0
2.258508,,0.05496,0,1,acquisition,,0.072519,0.948772,0,43.218612,0
2.248969,,0.068477,0,1,acquisition,,0.056129,0.969148,0,43.45148,0
2.243299,,0.076446,0,1,acquisition,,0.093623,0.915379,0,43.652201,0
2.238443,,0.083343,0,1,acquisition,,0.128204,0.84449,0,44.020553,0
2.233459,,0.089643,0,1,acquisition,,0.059984,0.964804,0,44.295632,0
2.23326,,0.090133,0,1,acquisition,,0.146656,0.7993,0,44.519444,0
2.233712,,0.090455,0,1,acquisition,,0.201197,0.643006,0,44.755344,0
2.231214,,0.09139,0,1,acquisition,,0.201004,0.6436,0,44.98627,0
2.227078,,0.089001,0,1,acquisition,,0.229497,0.554515,0,45.190268,0
2.222192,,0.075305,0,1,acquisition,,0.265661,0.445516,0,45.419934,0
2.223219,,0.071361,0,1,acquisition,,0.297368,0.369324,0,45.652482,0
2.227332,,0.067712,0,1,acquisition,,0.331441,0.333439,0,45.853476,0
2.231336,,0.063612,0,1,acquisition,,0.318734,0.339576,0,46.053687,0
2.233495,,0.064503,0,1,acquisition,,0.29099,0.382146,0,46.25385,0
2.23525,,0.065798,0,1,acquisition,,0.26978,0.434146,0,46.487515,0
2.240483,,0.063309,0,1,acquisition,,0.317302,0.340844,0,46.719899,0
2.243024,,0.062305,0,1,acquisition,,0.239958,0.52191,0,46.920968,0
2.24932,,0.056674,0,1,acquisition,,0.321722,0.337298,0,47.153383,0
2.252884,,0.053059,0,1,acquisition,,0.24289,0.512868,0,47.354751,0
2.262128,,0.042339,0,1,acquisition,,0.317264,0.340879,0,47.586995,0
2.268288,,0.035025,0,1,acquisition,,0.234398,0.539186,0,47.788275,0
2.282723,,0.016411,0,1,acquisition,,0.300422,0.363759,0,48.020981,0
2.287443,,0.010831,0,1,acquisition,,0.173174,0.726852,0,48.226537,0
2.293934,,0.003069,0,1,acquisition,,0.202638,0.638553,0,48.454704,0
2.297131,,0.000529,0,1,acquisition,,0.132676,0.833974,0,48.655777,0
2.300931,,0.004344,0,1,acquisition,,0.159632,0.764852,0,48.888401,0
2.299978,,0.001987,0,1,acquisition,,0.09415,0.914445,0,49.088957,0
2.296296,,0.004737,0,1,acquisition,,0.126985,0.847305,0,49.321594,0
2.295532,,0.006586,0,1,acquisition,,0.015025,0.997773,0,49.522867,0
2.294578,,0.009102,0,1,acquisition,,0.102591,0.898853,0,49.755234,0
2.29314,,0.011805,0,1,acquisition,,0.008561,0.999277,0,49.95635,0
2.290361,,0.016705,0,1,acquisition,,0.020116,0.99601,0,50.156435,0
2.286711,,0.022618,0,1,acquisition,,0.032594,0.989542,0,50.356665,0
2.281044,,0.031795,0,1,acquisition,,0.045591,0.979591,0,50.589907,0
2.2763,,0.03933,0,1,acquisition,,0.058337,0.966695,0,50.790136,0
2.272101,,0.046408,0,1,acquisition,,0.069372,0.95307,0,50.990467,0
