actual_virtual_flash_count,agent_id,api_latency_max_ms,api_latency_mean_ms,api_request_count,api_success_count,calibration_assignment_method,calibration_valid,capture_frame_count,category,condition,count_absolute_error,count_recall,detected_frequency_estimate_hz,detected_rising_edge_count,failure_interpretation,frequency_absolute_error_hz,group,intended_difficulty,normalized_signal_max,normalized_signal_mean,normalized_signal_min,normalized_signal_std,pass_repeat_agent,processing_fps,raw_signal_max,raw_signal_mean,raw_signal_min,raw_signal_range,raw_signal_std,repeat,repeat_dir,requested_frequency_hz,required_for_ready,roi_overlap_ratio,row_type,warnings
30,V0,12.817,9.353,11,11,frequency_based,True,886,position,position_shifted,1,0.966667,1.000507,29,Realistic shifted-position failure suggests ROI calibration is position-sensitive.,0.000507,position,realistic,1.0,0.486839,0.0,0.475493,True,29.78,49.0,35.481885,8.0,41.0,11.924509,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/position_shifted/repeat_03,1.0,True,0.0,repeat,
60,V1,12.817,9.353,11,11,frequency_based,True,886,position,position_shifted,1,0.983333,2.001037,59,Realistic shifted-position failure suggests ROI calibration is position-sensitive.,0.001037,position,realistic,1.0,0.507897,0.0,0.47994,True,29.78,75.0,42.269786,6.0,69.0,31.224313,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/position_shifted/repeat_03,2.0,True,0.0,repeat,
,,,,,,failed,False,,position,position_too_close_stress,,,,,Failure is expected if halos or padded ROIs overlap; this is not representative of the intended 2V+1P layout.,,position,stress_limit,,,,,False,,,,,,,,,,False,0.0,calibration_failed,only_one_valid_flashing_component_found
30,V0,15.505,9.736,11,11,frequency_based,True,885,size,size_large_small,0,1.0,1.000519,30,Failure suggests asymmetric target size affects one ROI detector.,0.000519,size,realistic,1.0,0.491658,0.0,0.478855,True,29.746,59.0,38.647051,10.0,49.0,18.267968,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_large_small/repeat_01,1.0,True,0.0,repeat,
60,V1,15.505,9.736,11,11,frequency_based,True,885,size,size_large_small,1,0.983333,2.001025,59,Failure suggests asymmetric target size affects one ROI detector.,0.001025,size,realistic,1.0,0.498439,0.0,0.475795,True,29.746,102.0,52.883638,3.0,99.0,46.262345,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_large_small/repeat_01,2.0,True,0.0,repeat,
30,V0,25.986,13.152,11,11,frequency_based,True,885,size,size_large_small,1,0.966667,1.000505,29,Failure suggests asymmetric target size affects one ROI detector.,0.000505,size,realistic,1.0,0.479816,0.0,0.478821,True,29.779,58.0,38.291605,10.0,48.0,18.270807,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_large_small/repeat_02,1.0,True,0.0,repeat,
60,V1,25.986,13.152,11,11,frequency_based,True,885,size,size_large_small,1,0.983333,2.001015,59,Failure suggests asymmetric target size affects one ROI detector.,0.001015,size,realistic,1.0,0.496737,0.0,0.476106,True,29.779,103.0,52.89722,3.0,100.0,46.247988,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_large_small/repeat_02,2.0,True,0.0,repeat,
30,V0,18.921,11.503,11,11,frequency_based,True,886,size,size_large_small,1,0.966667,1.000512,29,Failure suggests asymmetric target size affects one ROI detector.,0.000512,size,realistic,1.0,0.490909,0.0,0.490969,True,29.813,59.0,39.03579,9.0,50.0,18.610125,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_large_small/repeat_03,1.0,True,0.0,repeat,
60,V1,18.921,11.503,11,11,frequency_based,True,886,size,size_large_small,1,0.983333,2.001013,59,Failure suggests asymmetric target size affects one ROI detector.,0.001013,size,realistic,1.0,0.518273,0.0,0.484692,True,29.813,103.0,55.164808,4.0,99.0,46.871803,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_large_small/repeat_03,2.0,True,0.0,repeat,
30,V0,17.401,10.57,11,11,frequency_based,True,886,size,size_small_small,1,0.966667,1.000507,29,Failure suggests the chosen small formal target size is below reliable detectability.,0.000507,size,realistic,1.0,0.487928,0.0,0.49415,True,29.813,76.0,41.742099,9.0,67.0,31.646883,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_small_small/repeat_01,1.0,True,0.0,repeat,
60,V1,17.401,10.57,11,11,frequency_based,True,886,size,size_small_small,0,1.0,2.001005,60,Failure suggests the chosen small formal target size is below reliable detectability.,0.001005,size,realistic,1.0,0.507152,0.0,0.48495,True,29.813,102.0,54.495756,4.0,98.0,46.730747,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_small_small/repeat_01,2.0,True,0.0,repeat,
30,V0,12.484,8.389,11,11,frequency_based,True,886,size,size_small_small,0,1.0,1.000504,30,Failure suggests the chosen small formal target size is below reliable detectability.,0.000504,size,realistic,1.0,0.501011,0.0,0.486233,True,29.813,75.0,42.590248,8.0,67.0,31.147443,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_small_small/repeat_02,1.0,True,0.0,repeat,
60,V1,12.484,8.389,11,11,frequency_based,True,886,size,size_small_small,1,0.983333,2.001031,59,Failure suggests the chosen small formal target size is below reliable detectability.,0.001031,size,realistic,1.0,0.50733,0.0,0.477574,True,29.813,102.0,53.990384,3.0,99.0,46.385726,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_small_small/repeat_02,2.0,True,0.0,repeat,
30,V0,33.944,13.116,11,11,frequency_based,True,886,size,size_small_small,0,1.0,1.000498,30,Failure suggests the chosen small formal target size is below reliable detectability.,0.000498,size,realistic,1.0,0.496251,0.0,0.481812,True,29.813,76.0,41.939831,8.0,68.0,30.956451,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_small_small/repeat_03,1.0,True,0.0,repeat,
60,V1,33.944,13.116,11,11,frequency_based,True,886,size,size_small_small,1,0.983333,2.001021,59,Failure suggests the chosen small formal target size is below reliable detectability.,0.001021,size,realistic,1.0,0.500586,0.0,0.47827,True,29.813,103.0,53.624966,4.0,99.0,46.208378,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/size_small_small/repeat_03,2.0,True,0.0,repeat,
30,V0,15.318,9.979,11,11,frequency_based,True,886,size,tiny_small_small_stress,0,1.0,1.000531,30,"Failure indicates the lower size limit, not formal readiness.",0.000531,size,stress_limit,1.0,0.503866,0.0,0.487583,True,29.813,74.0,41.376411,7.0,67.0,32.004157,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/tiny_small_small_stress/repeat_01,1.0,False,0.0,repeat,
60,V1,15.318,9.979,11,11,frequency_based,True,886,size,tiny_small_small_stress,1,0.983333,2.000996,59,"Failure indicates the lower size limit, not formal readiness.",0.000996,size,stress_limit,1.0,0.503128,0.0,0.482469,True,29.813,101.0,53.564436,3.0,98.0,46.687244,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/tiny_small_small_stress/repeat_01,2.0,False,0.0,repeat,
30,V0,18.578,12.568,11,11,frequency_based,True,886,size,tiny_small_small_stress,0,1.0,1.00051,30,"Failure indicates the lower size limit, not formal readiness.",0.00051,size,stress_limit,1.0,0.49813,0.0,0.484849,True,29.813,75.0,40.753397,8.0,67.0,31.319325,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/tiny_small_small_stress/repeat_02,1.0,False,0.0,repeat,
60,V1,18.578,12.568,11,11,frequency_based,True,886,size,tiny_small_small_stress,1,0.983333,2.001013,59,"Failure indicates the lower size limit, not formal readiness.",0.001013,size,stress_limit,1.0,0.503887,0.0,0.478051,True,29.813,101.0,52.579594,3.0,98.0,46.086886,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/tiny_small_small_stress/repeat_02,2.0,False,0.0,repeat,
30,V0,33.712,12.174,11,11,frequency_based,True,886,size,tiny_small_small_stress,1,0.966667,1.000504,29,"Failure indicates the lower size limit, not formal readiness.",0.000504,size,stress_limit,1.0,0.493407,0.0,0.486553,True,29.813,75.0,41.022743,8.0,67.0,31.556539,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/tiny_small_small_stress/repeat_03,1.0,False,0.0,repeat,
60,V1,33.712,12.174,11,11,frequency_based,True,886,size,tiny_small_small_stress,1,0.983333,2.001007,59,"Failure indicates the lower size limit, not formal readiness.",0.001007,size,stress_limit,1.0,0.496464,0.0,0.478766,True,29.813,102.0,52.403544,3.0,99.0,46.277849,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/tiny_small_small_stress/repeat_03,2.0,False,0.0,repeat,
30,V0,19.092,11.497,11,11,frequency_based,True,887,contrast,contrast_medium,0,1.0,1.00051,30,Failure suggests moderate contrast is not robust enough under current lighting.,0.00051,contrast,realistic,1.0,0.496345,0.0,0.478251,True,29.814,57.0,37.386573,10.0,47.0,17.961696,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_medium/repeat_01,1.0,True,0.0,repeat,
60,V1,19.092,11.497,11,11,frequency_based,True,887,contrast,contrast_medium,1,0.983333,2.001017,59,Failure suggests moderate contrast is not robust enough under current lighting.,0.001017,contrast,realistic,1.0,0.506371,0.0,0.476701,True,29.814,50.0,28.528737,4.0,46.0,19.4729,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_medium/repeat_01,2.0,True,0.0,repeat,
30,V0,21.55,11.777,11,11,frequency_based,True,886,contrast,contrast_medium,1,0.966667,1.000508,29,Failure suggests moderate contrast is not robust enough under current lighting.,0.000508,contrast,realistic,1.0,0.491954,0.0,0.47765,True,29.78,58.0,37.50974,8.0,50.0,18.108584,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_medium/repeat_02,1.0,True,0.0,repeat,
60,V1,21.55,11.777,11,11,frequency_based,True,886,contrast,contrast_medium,0,1.0,2.001017,60,Failure suggests moderate contrast is not robust enough under current lighting.,0.001017,contrast,realistic,1.0,0.500553,0.0,0.478478,True,29.78,50.0,28.436783,3.0,47.0,19.439112,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_medium/repeat_02,2.0,True,0.0,repeat,
30,V0,23.282,10.018,11,11,frequency_based,True,886,contrast,contrast_medium,0,1.0,1.000506,30,Failure suggests moderate contrast is not robust enough under current lighting.,0.000506,contrast,realistic,1.0,0.504711,0.0,0.479347,True,29.78,57.0,37.853984,8.0,49.0,18.017406,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_medium/repeat_03,1.0,True,0.0,repeat,
60,V1,23.282,10.018,11,11,frequency_based,True,886,contrast,contrast_medium,1,0.983333,2.001033,59,Failure suggests moderate contrast is not robust enough under current lighting.,0.001033,contrast,realistic,1.0,0.502865,0.0,0.476688,True,29.78,50.0,28.493217,3.0,47.0,19.408422,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_medium/repeat_03,2.0,True,0.0,repeat,
30,V0,35.349,12.064,11,11,frequency_based,True,887,contrast,contrast_low,1,0.966667,1.00051,29,Low-contrast failure means this lighting/display contrast should be avoided formally.,0.00051,contrast,challenging,1.0,0.492668,0.0,0.474886,True,29.813,57.0,37.484656,9.0,48.0,18.018715,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_low/repeat_01,1.0,True,0.0,repeat,
60,V1,35.349,12.064,11,11,frequency_based,True,887,contrast,contrast_low,0,1.0,2.001005,60,Low-contrast failure means this lighting/display contrast should be avoided formally.,0.001005,contrast,challenging,1.0,0.496946,0.0,0.477676,True,29.813,51.0,28.881883,3.0,48.0,19.997915,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_low/repeat_01,2.0,True,0.0,repeat,
30,V0,18.863,10.858,11,11,frequency_based,True,888,contrast,contrast_low,0,1.0,1.000506,30,Low-contrast failure means this lighting/display contrast should be avoided formally.,0.000506,contrast,challenging,1.0,0.491624,0.0,0.476698,True,29.847,57.0,37.79857,10.0,47.0,17.915398,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_low/repeat_02,1.0,True,0.0,repeat,
60,V1,18.863,10.858,11,11,frequency_based,True,888,contrast,contrast_low,1,0.983333,2.001025,59,Low-contrast failure means this lighting/display contrast should be avoided formally.,0.001025,contrast,challenging,1.0,0.508321,0.0,0.474511,True,29.847,51.0,29.329606,4.0,47.0,20.172809,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_low/repeat_02,2.0,True,0.0,repeat,
30,V0,38.418,15.178,11,11,frequency_based,True,887,contrast,contrast_low,0,1.0,1.000507,30,Low-contrast failure means this lighting/display contrast should be avoided formally.,0.000507,contrast,challenging,1.0,0.497597,0.0,0.480075,True,29.813,57.0,37.637272,9.0,48.0,18.168429,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_low/repeat_03,1.0,True,0.0,repeat,
60,V1,38.418,15.178,11,11,frequency_based,True,887,contrast,contrast_low,1,0.983333,2.001021,59,Low-contrast failure means this lighting/display contrast should be avoided formally.,0.001021,contrast,challenging,1.0,0.508805,0.0,0.481195,True,29.813,51.0,29.365795,5.0,46.0,20.213444,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/contrast_low/repeat_03,2.0,True,0.0,repeat,
45,V0,17.186,11.209,11,11,frequency_based,True,886,frequency,frequency_1p5_2p5,1,0.977778,1.500767,44,Failure suggests the detector struggles outside the 1/2 Hz calibration pair.,0.000767,frequency,realistic,1.0,0.494381,0.0,0.476014,True,29.78,57.0,37.809549,9.0,48.0,17.970388,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_1p5_2p5/repeat_01,1.5,True,0.0,repeat,
75,V1,17.186,11.209,11,11,frequency_based,True,886,frequency,frequency_1p5_2p5,1,0.986667,2.501276,74,Failure suggests the detector struggles outside the 1/2 Hz calibration pair.,0.001276,frequency,realistic,1.0,0.524533,0.0,0.477239,True,29.78,53.0,30.849289,5.0,48.0,20.753564,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_1p5_2p5/repeat_01,2.5,True,0.0,repeat,
45,V0,18.45,11.369,11,11,frequency_based,True,887,frequency,frequency_1p5_2p5,1,0.977778,1.500762,44,Failure suggests the detector struggles outside the 1/2 Hz calibration pair.,0.000762,frequency,realistic,1.0,0.489813,0.0,0.47893,True,29.813,58.0,37.880372,9.0,49.0,18.297131,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_1p5_2p5/repeat_02,1.5,True,0.0,repeat,
75,V1,18.45,11.369,11,11,frequency_based,True,887,frequency,frequency_1p5_2p5,1,0.986667,2.501263,74,Failure suggests the detector struggles outside the 1/2 Hz calibration pair.,0.001263,frequency,realistic,1.0,0.514001,0.0,0.479984,True,29.813,51.0,30.086776,3.0,48.0,20.435067,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_1p5_2p5/repeat_02,2.5,True,0.0,repeat,
45,V0,14.661,10.741,11,11,frequency_based,True,887,frequency,frequency_1p5_2p5,1,0.977778,1.500762,44,Failure suggests the detector struggles outside the 1/2 Hz calibration pair.,0.000762,frequency,realistic,1.0,0.491957,0.0,0.483479,True,29.813,58.0,37.929414,10.0,48.0,18.407121,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_1p5_2p5/repeat_03,1.5,True,0.0,repeat,
75,V1,14.661,10.741,11,11,frequency_based,True,887,frequency,frequency_1p5_2p5,1,0.986667,2.501282,74,Failure suggests the detector struggles outside the 1/2 Hz calibration pair.,0.001282,frequency,realistic,1.0,0.498342,0.0,0.48905,True,29.813,52.0,29.365209,3.0,49.0,20.81104,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_1p5_2p5/repeat_03,2.5,True,0.0,repeat,
60,V0,19.853,11.299,11,11,left_right_fallback,True,886,frequency,frequency_2hz_phase_offset,1,0.983333,2.001013,59,Failure suggests same-frequency separated flashes are not independently counted.,0.001013,frequency,realistic,1.0,0.507507,0.0,0.474443,True,29.78,58.0,38.89237,20.0,38.0,17.612925,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_phase_offset/repeat_01,2.0,True,0.0,repeat,
60,V1,19.853,11.299,11,11,left_right_fallback,True,886,frequency,frequency_2hz_phase_offset,1,0.983333,2.001007,59,Failure suggests same-frequency separated flashes are not independently counted.,0.001007,frequency,realistic,1.0,0.504757,0.0,0.479123,True,29.78,53.0,30.789379,4.0,49.0,20.795041,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_phase_offset/repeat_01,2.0,True,0.0,repeat,
60,V0,24.852,11.707,11,11,left_right_fallback,True,886,frequency,frequency_2hz_phase_offset,0,1.0,2.001001,60,Failure suggests same-frequency separated flashes are not independently counted.,0.001001,frequency,realistic,1.0,0.485707,0.0,0.480918,True,29.78,57.0,37.593679,9.0,48.0,18.389556,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_phase_offset/repeat_02,2.0,True,0.0,repeat,
60,V1,24.852,11.707,11,11,left_right_fallback,True,886,frequency,frequency_2hz_phase_offset,1,0.983333,2.001035,59,Failure suggests same-frequency separated flashes are not independently counted.,0.001035,frequency,realistic,1.0,0.524556,0.0,0.488592,True,29.78,55.0,32.104153,5.0,50.0,21.387571,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_phase_offset/repeat_02,2.0,True,0.0,repeat,
60,V0,13.788,9.292,11,11,left_right_fallback,True,887,frequency,frequency_2hz_phase_offset,1,0.983333,2.001009,59,Failure suggests same-frequency separated flashes are not independently counted.,0.001009,frequency,realistic,1.0,0.485464,0.0,0.477535,True,29.813,57.0,37.163371,9.0,48.0,18.373808,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_phase_offset/repeat_03,2.0,True,0.0,repeat,
60,V1,13.788,9.292,11,11,left_right_fallback,True,887,frequency,frequency_2hz_phase_offset,1,0.983333,2.001025,59,Failure suggests same-frequency separated flashes are not independently counted.,0.001025,frequency,realistic,1.0,0.524763,0.0,0.488409,True,29.813,53.0,31.740451,8.0,45.0,21.14895,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_phase_offset/repeat_03,2.0,True,0.0,repeat,
60,V0,20.755,13.421,11,11,left_right_fallback,True,886,frequency,frequency_2hz_near_simultaneous,0,1.0,2.001013,60,Failure suggests near-simultaneous independent detections need caution.,0.001013,frequency,challenging,1.0,0.479844,0.0,0.469762,True,29.78,57.0,36.941749,8.0,49.0,18.396606,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_near_simultaneous/repeat_01,2.0,True,0.0,repeat,
60,V1,20.755,13.421,11,11,left_right_fallback,True,886,frequency,frequency_2hz_near_simultaneous,0,1.0,2.001017,60,Failure suggests near-simultaneous independent detections need caution.,0.001017,frequency,challenging,1.0,0.500672,0.0,0.480104,True,29.78,49.0,28.288916,4.0,45.0,19.248796,1,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_near_simultaneous/repeat_01,2.0,True,0.0,repeat,
60,V0,28.233,12.135,11,11,left_right_fallback,True,886,frequency,frequency_2hz_near_simultaneous,1,0.983333,2.001025,59,Failure suggests near-simultaneous independent detections need caution.,0.001025,frequency,challenging,1.0,0.492086,0.0,0.474034,True,29.78,58.0,37.55307,8.0,50.0,18.374747,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_near_simultaneous/repeat_02,2.0,True,0.0,repeat,
60,V1,28.233,12.135,11,11,left_right_fallback,True,886,frequency,frequency_2hz_near_simultaneous,1,0.983333,2.001017,59,Failure suggests near-simultaneous independent detections need caution.,0.001017,frequency,challenging,1.0,0.530039,0.0,0.484457,True,29.78,50.0,29.823894,7.0,43.0,19.789312,2,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_near_simultaneous/repeat_02,2.0,True,0.0,repeat,
60,V0,15.408,10.662,11,11,left_right_fallback,True,887,frequency,frequency_2hz_near_simultaneous,1,0.983333,2.001011,59,Failure suggests near-simultaneous independent detections need caution.,0.001011,frequency,challenging,1.0,0.490564,0.0,0.472257,True,29.813,57.0,37.211263,8.0,49.0,18.437274,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_near_simultaneous/repeat_03,2.0,True,0.0,repeat,
60,V1,15.408,10.662,11,11,left_right_fallback,True,887,frequency,frequency_2hz_near_simultaneous,1,0.983333,2.001017,59,Failure suggests near-simultaneous independent detections need caution.,0.001017,frequency,challenging,1.0,0.527851,0.0,0.484946,True,29.813,50.0,29.662897,7.0,43.0,19.686054,3,experiments/logs/step5c1_multi_roi_detection/20260624_163557_formal_detection_batch/conditions/frequency_2hz_near_simultaneous/repeat_03,2.0,True,0.0,repeat,
