agent_id,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V1,pi_detected_virtual_flash,,,1,0.6769,,57.0,1,,58.514898
V0,pi_detected_virtual_flash,,,1,0.9655,,52.0,0,,58.54915
P0,pi_flash,1.58007,,,,0.124909,,,,59.062171
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,59.062171,59.062171
V0,pi_detected_virtual_flash,,,1,0.8276,,48.0,0,,59.186134
V1,pi_detected_virtual_flash,,,1,0.8923,,71.0,1,,59.186134
P0,pi_flash,1.576764,,,,0.165094,,,,59.731868
P0,pi_flash_routed_to_virtuals,,0.0,,,,,,59.731868,59.731868
V1,pi_detected_virtual_flash,,,1,0.7077,,59.0,1,,59.830045
V0,pi_detected_virtual_flash,,,1,0.9667,,53.0,0,,59.849533
