model,variant,topology,freq_set,param_label,K,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
pco_simple,additive_phase_eps0.3_r0.1,chain,strong_heterogeneity,additive_phase eps=0.3,,False,False,True,False,False,1.07981,1.7857,1.1,0.0706,0.076031,0.976587,partial_phase_lock_with_extra_flashes
pco_simple,additive_phase_eps0.3_r0.1,directed_chain,near_identical,additive_phase eps=0.3,,False,False,True,False,True,0.325597,1.1667,0.3,0.057895,0.057251,0.983024,partial_phase_lock
pco_simple,additive_phase_eps0.3_r0.1,directed_chain,strong_heterogeneity,additive_phase eps=0.3,,False,False,True,False,False,1.07981,1.7857,1.1,0.0706,0.076031,0.976587,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.05,all_to_all,near_identical,mirollo_state eps=0.1,,False,False,True,False,False,0.651839,1.3333,0.6,0.069474,0.083594,0.977063,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.05,all_to_all,strong_heterogeneity,mirollo_state eps=0.1,,False,False,True,False,False,1.2617,1.9286,1.3,0.0682,0.082736,0.975398,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.05,chain,near_identical,mirollo_state eps=0.1,,False,False,True,False,True,0.325597,1.1667,0.3,0.069474,0.078922,0.980982,partial_phase_lock
pco_simple,mirollo_state_eps0.1_r0.05,chain,strong_heterogeneity,mirollo_state eps=0.1,,False,False,True,False,False,0.983243,1.7143,1.0,0.0856,0.097128,0.974132,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.05,directed_chain,near_identical,mirollo_state eps=0.1,,False,False,True,False,True,0.325597,1.1667,0.3,0.069474,0.078922,0.980982,partial_phase_lock
pco_simple,mirollo_state_eps0.1_r0.05,directed_chain,strong_heterogeneity,mirollo_state eps=0.1,,False,False,True,False,False,0.983243,1.7143,1.0,0.0856,0.097128,0.974132,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.1,all_to_all,near_identical,mirollo_state eps=0.1,,False,False,True,False,False,0.53426,1.3333,0.6,0.072456,0.077991,0.976599,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.1,all_to_all,strong_heterogeneity,mirollo_state eps=0.1,,False,False,True,False,False,1.147378,1.8571,1.2,0.0886,0.092987,0.972244,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.1,chain,near_identical,mirollo_state eps=0.1,,False,False,True,False,True,0.254535,1.1667,0.3,0.08193,0.083431,0.978019,partial_phase_lock
pco_simple,mirollo_state_eps0.1_r0.1,chain,strong_heterogeneity,mirollo_state eps=0.1,,False,False,True,False,False,0.862923,1.6429,0.9,0.0848,0.090708,0.975151,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.1_r0.1,directed_chain,near_identical,mirollo_state eps=0.1,,False,False,True,False,True,0.254535,1.1667,0.3,0.08193,0.083431,0.978019,partial_phase_lock
pco_simple,mirollo_state_eps0.1_r0.1,directed_chain,strong_heterogeneity,mirollo_state eps=0.1,,False,False,True,False,False,0.862923,1.6429,0.9,0.0848,0.090708,0.975151,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.05,all_to_all,near_identical,mirollo_state eps=0.15,,False,False,True,False,False,0.775614,1.4444,0.8,0.062069,0.080813,0.976994,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.05,all_to_all,strong_heterogeneity,mirollo_state eps=0.15,,False,False,True,False,False,1.492537,2.0714,1.5,0.0334,0.037954,0.98223,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.05,chain,near_identical,mirollo_state eps=0.15,,False,False,True,False,False,0.354403,1.2222,0.4,0.062069,0.064833,0.981337,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.05,chain,strong_heterogeneity,mirollo_state eps=0.15,,False,False,True,False,False,1.130758,1.8571,1.2,0.0766,0.087591,0.974363,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.05,directed_chain,near_identical,mirollo_state eps=0.15,,False,False,True,False,False,0.354403,1.2222,0.4,0.062069,0.064833,0.981337,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.05,directed_chain,strong_heterogeneity,mirollo_state eps=0.15,,False,False,True,False,False,1.130758,1.8571,1.2,0.0766,0.087591,0.974363,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.1,all_to_all,near_identical,mirollo_state eps=0.15,,False,False,True,False,False,0.651839,1.3333,0.6,0.065263,0.07345,0.978869,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.1,all_to_all,strong_heterogeneity,mirollo_state eps=0.15,,False,False,True,False,False,1.492537,2.0714,1.5,0.0516,0.055656,0.975834,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.1,chain,near_identical,mirollo_state eps=0.15,,False,False,True,False,True,0.325597,1.1667,0.3,0.076316,0.074097,0.979379,partial_phase_lock
pco_simple,mirollo_state_eps0.15_r0.1,chain,strong_heterogeneity,mirollo_state eps=0.15,,False,False,True,False,False,0.862923,1.6429,0.9,0.0792,0.083469,0.976247,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.15_r0.1,directed_chain,near_identical,mirollo_state eps=0.15,,False,False,True,False,True,0.325597,1.1667,0.3,0.076316,0.074097,0.979379,partial_phase_lock
pco_simple,mirollo_state_eps0.15_r0.1,directed_chain,strong_heterogeneity,mirollo_state eps=0.15,,False,False,True,False,False,0.862923,1.6429,0.9,0.0792,0.083469,0.976247,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.2_r0.05,all_to_all,near_identical,mirollo_state eps=0.2,,False,False,True,False,False,0.97035,1.5556,1.0,0.047288,0.052001,0.978027,partial_phase_lock_with_extra_flashes
pco_simple,mirollo_state_eps0.2_r0.05,all_to_all,strong_heterogeneity,mirollo_state eps=0.2,,False,False,True,False,False,1.498916,2.0714,1.5,0.0418,0.042891,0.980534,partial_phase_lock_with_extra_flashes
