agent_id,drop_reason,dropped,event_type,frequency_hz,injected_delay_s,kept_for_p0,normalized_signal,phase_rad,raw_brightness,roi_id,source_t_s,t_s
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8636,,104.0,1,,16.066888
P0,,,pi_flash,2.364362,,,,0.120738,,,,16.166497
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,16.166497,16.166497
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8923,,78.0,0,,16.30249
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8636,,104.0,1,,16.500693
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8025,,72.0,0,,16.600072
P0,,,pi_flash,2.363309,,,,0.429913,,,,16.600072
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,16.600072,16.600072
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8991,,107.0,1,,16.934775
P0,,,pi_flash,2.361651,,,,0.238984,,,,17.000596
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,17.000596,17.000596
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9385,,81.0,0,,17.121941
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9633,,114.0,1,,17.381476
P0,,,pi_flash,2.360171,,,,0.492908,,,,17.434219
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,17.434219,17.434219
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8462,,75.0,0,,17.54047
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9817,,116.0,1,,17.81021
P0,,,pi_flash,2.356012,,,,0.194245,,,,17.834474
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,17.834474,17.834474
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8154,,73.0,0,,17.940804
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9541,,113.0,1,,18.234547
P0,,,pi_flash,2.351143,,,,0.365607,,,,18.268014
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,18.268014,18.268014
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8462,,75.0,0,,18.377092
V1,,0,pi_detected_virtual_flash,,0.0,1,1.0,,118.0,1,,18.568061
P0,,,pi_flash,2.347259,,,,0.037779,,,,18.668773
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,18.668773,18.668773
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8459,,75.0,0,,18.776096
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9725,,115.0,1,,19.001528
P0,,,pi_flash,2.350989,,,,0.315645,,,,19.10189
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,19.10189,19.10189
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8308,,74.0,0,,19.205749
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9633,,114.0,1,,19.435183
P0,,,pi_flash,2.351328,,,,0.207908,,,,19.510669
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,19.510669,19.510669
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8594,,75.0,0,,19.604518
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9725,,115.0,1,,19.868924
P0,,,pi_flash,2.354949,,,,0.478776,,,,19.945583
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,19.945583,19.945583
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9365,,79.0,0,,20.041391
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9817,,116.0,1,,20.302607
P0,,,pi_flash,2.35773,,,,0.052976,,,,20.335971
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,20.335971,20.335971
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9524,,80.0,0,,20.477841
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9908,,117.0,1,,20.736132
P0,,,pi_flash,2.35203,,,,0.253032,,,,20.769567
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,20.769567,20.769567
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8413,,73.0,0,,20.886963
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9908,,117.0,1,,21.169704
P0,,,pi_flash,2.34833,,,,0.424445,,,,21.203266
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,21.203266,21.203266
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8571,,74.0,0,,21.32224
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9827,,117.0,1,,21.603373
P0,,,pi_flash,2.343662,,,,0.053832,,,,21.603373
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,21.603373,21.603373
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8092,,71.0,0,,21.706133
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9727,,116.0,1,,22.036623
P0,,,pi_flash,2.34056,,,,0.171373,,,,22.036623
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,22.036623,22.036623
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8553,,73.0,0,,22.141633
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8455,,102.0,1,,22.337748
P0,,,pi_flash,2.335273,,,,0.309426,,,,22.470707
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,22.470707,22.470707
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8851,,74.0,0,,22.572072
V1,,0,pi_detected_virtual_flash,,0.0,1,0.8455,,102.0,1,,22.871297
P0,,,pi_flash,2.329742,,,,0.03975,,,,22.871297
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,22.871297,22.871297
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9116,,109.0,1,,23.304523
P0,,,pi_flash,2.325089,,,,0.106729,,,,23.304523
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,23.304523,23.304523
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7377,,65.0,0,,23.406587
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9033,,108.0,1,,23.738373
P0,,,pi_flash,2.321521,,,,0.165578,,,,23.738373
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,23.738373,23.738373
V0,,0,pi_detected_virtual_flash,,0.0,1,0.7377,,65.0,0,,23.839691
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9817,,116.0,1,,24.071633
P0,,,pi_flash,2.318248,,,,0.243918,,,,24.172229
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,24.172229,24.172229
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9016,,75.0,0,,24.332136
V1,,0,pi_detected_virtual_flash,,0.0,1,0.945,,112.0,1,,24.505186
P0,,,pi_flash,2.316414,,,,0.746305,,,,24.63264
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,24.63264,24.63264
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9672,,79.0,0,,24.74138
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9541,,113.0,1,,24.938976
P0,,,pi_flash,2.314348,,,,0.18069,,,,25.019904
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,25.019904,25.019904
V0,,0,pi_detected_virtual_flash,,0.0,1,0.9917,,80.0,0,,25.177102
P0,,,pi_flash,2.312515,,,,0.315016,,,,25.454996
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,25.454996,25.454996
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9725,,115.0,1,,25.541675
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8113,,69.0,0,,25.572876
P0,,,pi_flash,2.310661,,,,0.231721,,,,25.887854
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,25.887854,25.887854
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9871,,116.0,1,,25.987194
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8278,,70.0,0,,26.006571
P0,,,pi_flash,2.309481,,,,0.008914,,,,26.318235
P0,,,pi_flash_routed_to_virtuals,,0.0,,,,,,26.318235,26.318235
V1,,0,pi_detected_virtual_flash,,0.0,1,0.9723,,115.0,1,,26.412346
V0,,0,pi_detected_virtual_flash,,0.0,1,0.8292,,70.0,0,,26.440344
