model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
pco_simple,simple,local_ring_5,n5_near_identical,8,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,9,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_near_identical,10,5,False,False,True,False,False,0.752357,1.4444,0.8,0.089951,0.111235,0.970542,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,1,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,2,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,3,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,4,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,5,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,6,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,7,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,8,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,9,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_ring_5,n5_strong_heterogeneity,10,5,False,False,True,False,False,1.332892,1.9333,1.4,0.09526,0.113604,0.967387,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,1,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,2,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,3,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,4,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,5,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,6,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,7,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,8,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,9,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_near_identical,10,5,False,False,True,False,False,0.496443,1.2778,0.5,0.088585,0.112353,0.972949,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,1,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,2,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,3,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,4,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,5,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,6,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,7,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,8,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,9,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,chain_5,n5_strong_heterogeneity,10,5,False,False,True,False,False,1.207463,1.8667,1.3,0.096667,0.116429,0.967443,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,1,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,2,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,3,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,4,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,5,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,6,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,7,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,8,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,9,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_near_identical,10,5,False,False,True,False,False,0.633641,1.3889,0.7,0.078673,0.103934,0.973896,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_strong_heterogeneity,1,5,False,False,True,False,False,1.379258,1.9333,1.4,0.086495,0.107113,0.9678,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_strong_heterogeneity,2,5,False,False,True,False,False,1.379258,1.9333,1.4,0.086495,0.107113,0.9678,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_strong_heterogeneity,3,5,False,False,True,False,False,1.379258,1.9333,1.4,0.086495,0.107113,0.9678,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_strong_heterogeneity,4,5,False,False,True,False,False,1.379258,1.9333,1.4,0.086495,0.107113,0.9678,partial_phase_lock_with_extra_flashes
pco_simple,simple,local_degree_2_3,n5_strong_heterogeneity,5,5,False,False,True,False,False,1.379258,1.9333,1.4,0.086495,0.107113,0.9678,partial_phase_lock_with_extra_flashes
