t_s,phase_rad,frequency_hz,phase_error_rad,follower_flash,loop_dt_ms
14.547689,4.650065,1.98934,0.759406,0,78.853
14.620401,5.574799,1.989573,0.747795,0,72.711
14.684419,0.107464,1.989808,0.713351,1,64.019
14.743955,0.867058,1.990045,0.702316,0,59.536
14.808458,1.688565,1.990282,0.691867,0,64.503
14.885506,2.666785,1.990518,0.682523,0,77.048
14.966487,3.694062,1.990752,0.673611,0,80.981
15.046467,4.708694,1.990984,0.664757,0,79.979
15.118861,5.628329,1.991214,0.655499,0,72.394
15.184748,0.183305,1.991432,0.6585,1,65.887
15.244398,0.943347,1.991642,0.64788,0,59.651
15.310122,1.77929,1.991843,0.637677,0,65.724
15.386082,2.743228,1.992036,0.628098,0,75.959
15.467781,3.778915,1.992223,0.618898,0,81.699
15.54711,4.784844,1.992403,0.60967,0,79.329
15.619055,5.698248,1.992578,0.600183,0,71.945
15.683858,0.23892,1.992748,0.587967,1,64.802
15.743127,0.993361,1.992913,0.578127,0,59.269
15.807741,1.814608,1.993073,0.568661,0,64.614
15.883406,2.774116,1.993229,0.559808,0,75.665
15.965033,3.808173,1.993381,0.551326,0,81.627
16.044914,4.820257,1.993529,0.542881,0,79.881
16.117829,5.744981,1.993674,0.534262,0,72.915
16.183817,0.299688,1.993817,0.541141,1,65.987
16.243972,1.064456,1.99396,0.532471,0,60.156
16.308902,1.888951,1.994102,0.524079,0,64.93
16.38502,2.853537,1.994242,0.516234,0,76.117
16.467036,3.891957,1.99438,0.508704,0,82.016
16.546526,4.898655,1.994515,0.501145,0,79.49
16.61876,5.814338,1.994649,0.493377,0,72.234
16.68517,0.373701,1.994775,0.470841,1,66.41
16.744728,1.130217,1.994894,0.462335,0,59.558
16.810227,1.961059,1.995008,0.454154,0,65.499
16.886592,2.927958,1.995117,0.44642,0,76.365
16.967914,3.956875,1.995221,0.438953,0,81.322
17.047587,4.96501,1.995321,0.431568,0,79.674
17.118844,5.867502,1.995417,0.424087,0,71.256
17.183654,0.405866,1.995516,0.417858,1,64.81
17.243505,1.165136,1.995616,0.410836,0,59.852
17.308091,1.983656,1.995716,0.404085,0,64.586
17.383893,2.942707,1.995817,0.397799,0,75.802
17.465304,3.972008,1.995917,0.391786,0,81.411
17.545324,4.983777,1.996016,0.38582,0,80.02
17.617768,5.900453,1.996115,0.379715,0,72.444
17.684415,0.461195,1.996207,0.384119,1,66.647
17.744315,1.220433,1.996294,0.377291,0,59.9
17.809168,2.041726,1.996375,0.370627,0,64.853
17.885664,3.00898,1.996453,0.364258,0,76.496
17.967153,4.038801,1.996527,0.358055,0,81.489
18.04667,5.043807,1.996598,0.351891,0,79.517
18.118378,5.950758,1.996666,0.345668,0,71.708
18.182999,0.485509,1.996741,0.334538,1,64.621
18.243285,1.248964,1.996821,0.329236,0,60.286
18.30759,2.062742,1.996906,0.324162,0,64.305
18.383074,3.016707,1.996994,0.319528,0,75.485
18.465002,4.051445,1.997083,0.315168,0,81.927
18.544857,5.060119,1.997174,0.310813,0,79.855
