K,agent_id,applied_kuramoto_correction,coupling_input,dt,effective_period_s,fire_count,flash_count_delta,flash_on,frequency_hz_after,frequency_hz_before,neighbour_period_est,neighbour_phase_est,phase_after,phase_before,phase_delta,phase_delta_unwrapped,pi_flash_events_consumed_this_step,time,warning,wrapped_phase_error
4.5,0,0.017666314,0.11896508,0.033,0.479569739,3,0,0,2.085202463,2.099915158,0.5,1.595929068,1.909038117,1.476681573,0.432356545,0.432356545,0,1.274116,,0.119247495
4.5,0,0.015058876,0.101406573,0.033,0.482479456,3,0,0,2.072627108,2.085202463,0.5,2.010619298,2.338787224,1.909038117,0.429749106,0.429749106,0,1.307654,,0.101581181
4.5,0,0.012832537,0.086414393,0.033,0.484991984,3,0,0,2.06188975,2.072627108,0.5,2.425309529,2.766309991,2.338787224,0.427522768,0.427522768,0,1.341304,,0.086522305
4.5,0,0.010933029,0.073623094,0.033,0.487156447,3,0,0,2.052728657,2.06188975,0.5,2.839999759,3.191933251,2.766309991,0.42562326,0.42562326,0,1.374892,,0.073689768
4.5,0,0.00931326,0.062715553,0.033,0.489017473,3,0,0,2.044916706,2.052728657,0.5,3.254689989,3.615936741,3.191933251,0.42400349,0.42400349,0,1.408421,,0.062756738
4.5,0,0.007932579,0.053418041,0.033,0.49061506,3,0,0,2.038257854,2.044916706,0.5,3.669380219,4.03855955,3.615936741,0.422622809,0.422622809,0,1.441964,,0.053443478
4.5,0,0.006756036,0.04549519,0.033,0.491984701,3,0,0,2.03258353,2.038257854,0.5,4.08407045,4.460005816,4.03855955,0.421446266,0.421446266,0,1.475645,,0.045510899
4.5,0,0.005753657,0.038745163,0.033,0.49315764,3,0,0,2.027749179,2.03258353,0.5,4.49876068,4.880449703,4.460005816,0.420443887,0.420443887,0,1.509198,,0.038754864
4.5,0,0.148087474,0.997222049,0.033,0.368431644,3,0,0,2.714207683,2.027749179,0.854622923,0.242615906,5.443227408,4.880449703,0.562777705,0.562777705,1,1.542794,frequency_step_gt_0.5hz;phase_jump_gt_0.5rad,1.64535151
4.5,0,0.144043516,0.969990008,0.033,0.371098249,3,0,0,2.694704171,2.714207683,0.854622923,0.485231813,6.001961154,5.443227408,0.558733747,0.558733747,0,1.576138,phase_jump_gt_0.5rad,1.325189712
4.5,0,0.12568117,0.846337845,0.033,0.383708529,4,1,1,2.606144832,2.694704171,0.854622923,0.727847719,0.259147248,6.001961154,0.5403714,0.5403714,0,1.609672,phase_jump_gt_0.5rad,1.009071872
4.5,0,0.096945477,0.652831497,0.033,0.405259273,4,0,0,2.467556119,2.606144832,0.854622923,0.970463626,0.770782955,0.259147248,0.511635708,0.511635708,0,1.643206,phase_jump_gt_0.5rad,0.711316378
4.5,0,0.063560402,0.428016172,0.033,0.433549067,4,0,0,2.306544003,2.467556119,0.854622923,1.213079532,1.249033587,0.770782955,0.478250632,0.478250632,0,1.676775,,0.442296577
4.5,0,0.030471299,0.205193932,0.033,0.465775009,4,0,0,2.146959329,2.306544003,0.854622923,1.455695439,1.694195116,1.249033587,0.445161529,0.445161529,0,1.710306,,0.206661852
4.5,0,0.000611258,0.004116217,0.033,0.499264079,4,0,0,2.002948024,2.146959329,0.854622923,1.698311345,2.109496605,1.694195116,0.415301489,0.415301489,0,1.743949,,0.004116229
4.5,0,-0.024914165,-0.167772153,0.033,0.531959588,4,0,0,1.879842047,2.002948024,0.854622923,1.940927252,2.49927267,2.109496605,0.389776066,0.389776066,0,1.777398,,-0.168569353
4.5,0,-0.046110736,-0.310510006,0.033,0.562551955,4,0,0,1.777613589,1.879842047,0.854622923,2.183543158,2.867852165,2.49927267,0.368579494,0.368579494,0,1.810925,,-0.315729512
4.5,0,-0.063479397,-0.427470689,0.033,0.590372209,4,0,0,1.693846671,1.777613589,0.854622923,2.426159065,3.219062998,2.867852165,0.351210833,0.351210833,0,1.844462,,-0.4416931
4.5,0,-0.077655514,-0.522932757,0.033,0.615204029,4,0,0,1.625477001,1.693846671,0.854622923,2.668774971,3.556097713,3.219062998,0.337034716,0.337034716,0,1.878041,,-0.550288027
4.5,0,-0.089243176,-0.600964145,0.033,0.637108593,4,0,0,1.569591135,1.625477001,0.854622923,2.911390877,3.881544768,3.556097713,0.325447055,0.325447055,0,1.911591,,-0.644706836
4.5,0,-0.098757398,-0.665032985,0.033,0.656294928,4,0,0,1.523705209,1.569591135,0.854622923,3.154006784,4.1974776,3.881544768,0.315932832,0.315932832,0,1.945132,,-0.727537984
4.5,0,-0.10661579,-0.71795145,0.033,0.673035761,4,0,0,1.48580515,1.523705209,0.854622923,3.39662269,4.50555204,4.1974776,0.30807444,0.30807444,0,1.978698,,-0.80085491
4.5,0,-0.113149064,-0.761946559,0.033,0.687617939,4,0,0,1.454295974,1.48580515,0.854622923,3.639238597,4.807093206,4.50555204,0.301541166,0.301541166,0,2.012249,,-0.866313443
4.5,0,-0.118616513,-0.7987644,0.033,0.700315845,4,0,0,1.427927138,1.454295974,0.854622923,3.881854503,5.103166923,4.807093206,0.296073717,0.296073717,0,2.045779,,-0.925238703
4.5,0,-0.123220933,-0.829770594,0.033,0.711378925,4,0,0,1.405720588,1.427927138,0.854622923,4.12447041,5.39463622,5.103166923,0.291469297,0.291469297,0,2.079302,,-0.978696514
4.5,0,-0.127121207,-0.856035062,0.033,0.721027295,4,0,0,1.386910048,1.405720588,0.854622923,4.367086316,5.682205244,5.39463622,0.287569024,0.287569024,0,2.112843,,-1.027549904
4.5,0,-0.130442328,-0.878399516,0.033,0.729451699,4,0,0,1.370892687,1.386910048,0.854622923,4.609702223,5.966453146,5.682205244,0.284247902,0.284247902,0,2.146409,,-1.072503021
4.5,0,-0.133283161,-0.897529706,0.033,0.736815589,4,0,0,1.357191698,1.370892687,0.854622923,4.852318129,6.247860215,5.966453146,0.281407069,0.281407069,0,2.180004,,-1.114135017
4.5,0,-0.135722368,-0.913955338,0.033,0.74325807,5,1,1,1.345427706,1.357191698,0.854622923,5.094934035,0.24364277,6.247860215,0.278967863,0.278967863,0,2.213625,,-1.152926179
4.5,0,-0.137822915,-0.928100437,0.033,0.748897048,5,0,0,1.335297025,1.345427706,0.854622923,5.337549942,0.520510086,0.24364277,0.276867315,0.276867315,0,2.247056,,-1.189278136
4.5,0,-0.139635503,-0.940306417,0.033,0.753832218,5,0,0,1.326555136,1.335297025,0.854622923,5.580165848,0.795564813,0.520510086,0.275054727,0.275054727,0,2.280649,,-1.223529544
4.5,0,-0.141201175,-0.950849665,0.033,0.758147763,5,0,0,1.31900409,1.326555136,0.854622923,5.822781755,1.069053868,0.795564813,0.273489055,0.273489055,0,2.314189,,-1.255968365
4.5,0,-0.10922513,-0.735522761,0.033,0.678784958,5,0,0,1.473220626,1.31900409,0.854622923,0.242615906,1.374518968,1.069053868,0.3054651,0.3054651,1,2.347708,,-0.826437961
4.5,0,-0.115328497,-0.776622877,0.033,0.69262398,5,0,0,1.443784836,1.473220626,0.854622923,0.485231813,1.673880701,1.374518968,0.299361733,0.299361733,0,2.381288,,-0.889287155
4.5,0,-0.120448582,-0.811101563,0.033,0.704676297,5,0,0,1.419091296,1.443784836,0.854622923,0.727847719,1.968122349,1.673880701,0.294241648,0.294241648,0,2.414835,,-0.946032982
4.5,0,-0.124770247,-0.840203683,0.033,0.715180488,5,0,0,1.398248438,1.419091296,0.854622923,0.970463626,2.258042333,1.968122349,0.289919983,0.289919983,0,2.448363,,-0.997658724
4.5,0,-0.128438521,-0.864905867,0.033,0.724345423,5,0,0,1.380556802,1.398248438,0.854622923,1.213079532,2.544294042,2.258042333,0.286251709,0.286251709,0,2.482038,,-1.044962801
4.5,0,-0.131567721,-0.885977918,0.033,0.73235122,5,0,0,1.365465057,1.380556802,0.854622923,1.455695439,2.827416551,2.544294042,0.283122509,0.283122509,0,2.51547,,-1.088598603
4.5,0,-0.134248463,-0.904030055,0.033,0.739351764,5,0,0,1.352536166,1.365465057,0.854622923,1.698311345,3.107858318,2.827416551,0.280441767,0.280441767,0,2.549014,,-1.129105206
4.5,0,-0.136553014,-0.919548914,0.033,0.745477782,5,0,0,1.341421602,1.352536166,0.854622923,1.940927252,3.385995535,3.107858318,0.278137217,0.278137217,0,2.582561,,-1.166931067
4.5,0,-0.138539351,-0.93292492,0.033,0.750839959,5,0,0,1.331841743,1.341421602,0.854622923,2.183543158,3.662146414,3.385995535,0.27615088,0.27615088,0,2.616102,,-1.202452377
4.5,0,-0.140254255,-0.944473095,0.033,0.755531831,5,0,0,1.323570972,1.331841743,0.854622923,2.426159065,3.93658239,3.662146414,0.274435976,0.274435976,0,2.649648,,-1.23598735
4.5,0,-0.141735668,-0.954448941,0.033,0.759632347,5,0,0,1.316426299,1.323570972,0.854622923,2.668774971,4.209536953,3.93658239,0.272954563,0.272954563,0,2.68322,,-1.267807419
4.5,0,-0.1430145,-0.963060607,0.033,0.76320809,5,0,0,1.310258647,1.316426299,0.854622923,2.911390877,4.481212683,4.209536953,0.27167573,0.27167573,0,2.716769,,-1.298146075
4.5,0,-0.144116022,-0.970478262,0.033,0.76631515,5,0,0,1.304946144,1.310258647,0.854622923,3.154006784,4.751786891,4.481212683,0.270574208,0.270574208,0,2.750323,,-1.327205899
4.5,0,-0.145060938,-0.976841337,0.033,0.769000704,5,0,0,1.300388927,1.304946144,0.854622923,3.39662269,5.021416183,4.751786891,0.269629292,0.269629292,0,2.783874,,-1.355164201
4.5,0,-0.145866228,-0.982264161,0.033,0.771304323,5,0,0,1.296505115,1.300388927,0.854622923,3.639238597,5.290240185,5.021416183,0.268824002,0.268824002,0,2.817442,,-1.382177586
4.5,0,-0.146545793,-0.986840356,0.033,0.773259058,5,0,0,1.293227657,1.296505115,0.854622923,3.881854503,5.558384623,5.290240185,0.268144437,0.268144437,0,2.850983,,-1.408385682
4.5,0,-0.14711097,-0.990646262,0.033,0.774892325,5,0,0,1.290501877,1.293227657,0.854622923,4.12447041,5.825963883,5.558384623,0.26757926,0.26757926,0,2.884136,,-1.433914213
4.5,0,-0.147570929,-0.99374363,0.033,0.776226631,5,0,0,1.288283551,1.290501877,0.854622923,4.367086316,6.093083184,5.825963883,0.267119301,0.267119301,0,2.917723,,-1.458877567
4.5,0,-0.147932984,-0.996181709,0.033,0.77728016,6,1,1,1.286537405,1.288283551,0.854622923,4.609702223,0.076655124,6.093083184,0.266757246,0.266757246,0,2.951232,,-1.483380962
4.5,0,-0.148202832,-0.997998867,0.033,0.778067242,6,0,0,1.285235962,1.286537405,0.854622923,4.852318129,0.343142522,0.076655124,0.266487399,0.266487399,0,2.984832,,-1.507522302
4.5,0,-0.148384737,-0.999223821,0.033,0.778598717,6,0,0,1.284358654,1.285235962,0.854622923,5.094934035,0.609448015,0.343142522,0.266305493,0.266305493,0,3.018294,,-1.531393794
4.5,0,-0.148481668,-0.999876554,0.033,0.778882218,6,0,0,1.283891168,1.284358654,0.854622923,5.337549942,0.875656577,0.609448015,0.266208562,0.266208562,0,3.051929,,-1.55508338
4.5,0,-0.14849539,-0.999968955,0.033,0.778922367,6,0,0,1.28382499,1.283891168,0.854622923,5.580165848,1.141851418,0.875656577,0.26619484,0.26619484,0,3.085394,,-1.578676036
4.5,0,-0.148426525,-0.999505218,0.033,0.77872091,6,0,0,1.284157118,1.28382499,0.854622923,5.822781755,1.408115123,1.141851418,0.266263705,0.266263705,0,3.118977,,-1.60225497
4.5,0,-0.148274581,-0.998482024,0.033,0.778276784,6,0,0,1.284889926,1.284157118,0.854622923,6.065397661,1.674530773,1.408115123,0.26641565,0.26641565,0,3.15248,,-1.625902769
4.5,0,-0.148037945,-0.996888522,0.033,0.777586119,6,0,0,1.286031188,1.284889926,0.854622923,0.024828261,1.941183057,1.674530773,0.266652285,0.266652285,0,3.186049,,-1.649702512
4.5,0,-0.147713855,-0.994706092,0.033,0.776642183,6,0,0,1.287594239,1.286031188,0.854622923,0.267444167,2.208159433,1.941183057,0.266976376,0.266976376,0,3.219646,,-1.67373889
4.5,0,-0.147298324,-0.991907906,0.033,0.775435271,6,0,0,1.289598291,1.287594239,0.854622923,0.510060073,2.475551339,2.208159433,0.267391906,0.267391906,0,3.253102,,-1.69809936
4.5,0,-0.146786051,-0.988458254,0.033,0.773952521,6,0,0,1.292068922,1.289598291,0.854622923,0.75267598,2.743455519,2.475551339,0.267904179,0.267904179,0,3.286635,,-1.722875359
4.5,0,-0.146170275,-0.984311613,0.033,0.772177675,6,0,0,1.295038736,1.292068922,0.854622923,0.995291886,3.011975475,2.743455519,0.268519956,0.268519956,0,3.320199,,-1.748163632
4.5,0,-0.145442595,-0.979411417,0.033,0.770090758,6,0,0,1.298548243,1.295038736,0.854622923,1.237907793,3.281223109,3.011975475,0.269247635,0.269247635,0,3.353786,,-1.774067682
4.5,0,-0.14459274,-0.973688485,0.033,0.767667685,6,0,0,1.30264699,1.298548243,0.854622923,1.480523699,3.5513206,3.281223109,0.27009749,0.27009749,0,3.387341,,-1.80069941
4.5,0,-0.143608265,-0.967059024,0.033,0.764879784,6,0,0,1.307394993,1.30264699,0.854622923,1.723139606,3.822402565,3.5513206,0.271081965,0.271081965,0,3.420839,,-1.828180994
4.5,0,0.063009262,0.424304794,0.033,0.434049268,6,0,0,2.303885924,1.307394993,0.854622923,0.242615906,4.300102057,3.822402565,0.477699492,0.477699492,1,3.454416,frequency_step_gt_0.5hz,2.703398649
4.5,0,0.092597426,0.623551693,0.033,0.408732821,6,0,0,2.446586004,2.303885924,0.854622923,0.485231813,4.807389714,4.300102057,0.507287657,0.507287657,0,3.48794,phase_jump_gt_0.5rad,2.468315063
4.5,0,0.119742522,0.806346949,0.033,0.387972321,6,0,0,2.577503463,2.446586004,0.854622923,0.727847719,5.341822466,4.807389714,0.534432752,0.534432752,0,3.521508,phase_jump_gt_0.5rad,2.203643313
4.5,0,0.139947978,0.942410627,0.033,0.373838499,6,0,0,2.674951894,2.577503463,0.854622923,0.970463626,5.896460674,5.341822466,0.554638208,0.554638208,0,3.555063,phase_jump_gt_0.5rad,1.911826467
4.5,0,0.148437526,0.999579302,0.033,0.36820262,7,1,1,2.715895941,2.674951894,0.854622923,1.213079532,0.176403124,5.896460674,0.563127757,0.563127757,0,3.588615,phase_jump_gt_0.5rad,1.599804165
4.5,0,0.142235188,0.957812716,0.033,0.372303199,7,0,0,2.685982828,2.715895941,0.854622923,1.455695439,0.733328543,0.176403124,0.556925419,0.556925419,0,3.622151,phase_jump_gt_0.5rad,1.279292315
4.5,0,0.12207281,0.822039124,0.033,0.386287989,7,0,0,2.588742155,2.685982828,0.854622923,1.698311345,1.270091583,0.733328543,0.53676304,0.53676304,0,3.655744,phase_jump_gt_0.5rad,0.964982803
4.5,0,0.092313657,0.621640786,0.033,0.408961589,7,0,0,2.445217417,2.588742155,0.854622923,1.940927252,1.77709547,1.270091583,0.507003887,0.507003887,0,3.689254,phase_jump_gt_0.5rad,0.670835669
4.5,0,0.058709315,0.395348921,0.033,0.437991792,7,0,0,2.283147808,2.445217417,0.854622923,2.183543158,2.250495015,1.77709547,0.473399545,0.473399545,0,3.722787,,0.406447688
4.5,0,0.025952158,0.174762007,0.033,0.470551905,7,0,0,2.125164068,2.283147808,0.854622923,2.426159065,2.691137403,2.250495015,0.440642388,0.440642388,0,3.756454,,0.17566405
4.5,0,-0.003320544,-0.022360568,0.033,0.504035961,7,0,0,1.983985423,2.125164068,0.854622923,2.668774971,3.102507089,2.691137403,0.411369686,0.411369686,0,3.789904,,-0.022362432
4.5,0,-0.028208303,-0.189954901,0.033,0.536493689,7,0,0,1.863954823,1.983985423,0.854622923,2.911390877,3.488989016,3.102507089,0.386481927,0.386481927,0,3.823469,,-0.191116211
4.5,0,-0.04881973,-0.32875239,0.033,0.566717226,7,0,0,1.764548444,1.863954823,0.854622923,3.154006784,3.854859517,3.488989016,0.3658705,0.3658705,0,3.857042,,-0.334982232
4.5,0,-0.065691577,-0.442367522,0.033,0.59411437,7,0,0,1.6831776,1.764548444,0.854622923,3.39662269,4.20385817,3.854859517,0.348998653,0.348998653,0,3.89054,,-0.458236826
4.5,0,-0.079461529,-0.535094473,0.033,0.618518386,7,0,0,1.616766813,1.6831776,0.854622923,3.639238597,4.539086871,4.20385817,0.335228701,0.335228701,0,3.924107,,-0.564619573
4.5,0,-0.090722823,-0.610928099,0.033,0.640018441,7,0,0,1.56245498,1.616766813,0.854622923,3.881854503,4.863054279,4.539086871,0.323967408,0.323967408,0,3.957677,,-0.657232368
4.5,0,-0.099976358,-0.673241468,0.033,0.65883691,7,0,0,1.517826316,1.56245498,0.854622923,4.12447041,5.177768151,4.863054279,0.314713872,0.314713872,0,3.991249,,-0.738583869
4.5,0,-0.107626434,-0.72475713,0.033,0.675250933,7,0,0,1.480930941,1.517826316,0.854622923,4.367086316,5.484831947,5.177768151,0.307063796,0.307063796,0,4.024757,,-0.810681835
4.5,0,-0.113992557,-0.767626649,0.033,0.68954679,7,0,0,1.45022791,1.480930941,0.854622923,4.609702223,5.78552962,5.484831947,0.300697673,0.300697673,0,4.05839,,-0.875129725
4.5,0,-0.119325058,-0.803535742,0.033,0.701995815,7,0,0,1.424509916,1.45022791,0.854622923,4.852318129,6.080894793,5.78552962,0.295365173,0.295365173,0,4.091857,,-0.933211491
4.5,0,-0.123819727,-0.833802873,0.033,0.712843388,8,1,1,1.40283268,1.424509916,0.854622923,5.094934035,0.088579989,6.080894793,0.290870504,0.290870504,0,4.125381,,-0.985960757
4.5,0,0.022458343,0.151234634,0.033,0.474312689,8,0,0,2.108313828,1.40283268,0.86251073,0.240397143,0.525728563,0.088579989,0.437148573,0.437148573,1,4.158938,frequency_step_gt_0.5hz,0.151817154
4.5,0,-0.006670495,-0.044919157,0.033,0.508174231,8,0,0,1.967829023,2.108313828,0.86251073,0.480794286,0.933748298,0.525728563,0.408019735,0.408019735,0,4.192201,,-0.044934277
