t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,bootstrap_estimate
1.08,1.648265,2.3,1.00531,-0.642956,-0.599564,0,0,0
1.09,1.771794,2.3,1.130973,-0.640821,-0.597853,0,0,0
1.1,1.895382,2.3,1.256637,-0.638745,-0.596189,0,0,0
1.11,2.019029,2.3,1.382301,-0.636728,-0.594568,0,0,0
1.12,2.142732,2.3,1.507964,-0.634768,-0.592991,0,0,0
1.13,2.266491,2.3,1.633628,-0.632863,-0.591456,0,0,0
1.14,2.390303,2.3,1.759292,-0.631011,-0.589962,0,0,0
1.15,2.514168,2.3,1.884956,-0.629212,-0.588508,0,0,0
1.16,2.638083,2.3,2.010619,-0.627464,-0.587094,0,0,0
1.17,2.762048,2.3,2.136283,-0.625765,-0.585718,0,0,0
1.18,2.886061,2.3,2.261947,-0.624115,-0.584379,0,0,0
1.19,3.010121,2.3,2.38761,-0.622511,-0.583077,0,0,0
1.2,3.134227,2.3,2.513274,-0.620953,-0.58181,0,0,0
1.21,3.258377,2.3,2.638938,-0.619439,-0.580579,0,0,0
1.22,3.38257,2.3,2.764602,-0.617968,-0.57938,0,0,0
1.23,3.506805,2.3,2.890265,-0.61654,-0.578215,0,0,0
1.24,3.631081,2.3,3.015929,-0.615152,-0.577082,0,0,0
1.25,3.755396,2.3,3.141593,-0.613803,-0.575981,0,0,0
1.26,3.87975,2.3,3.267256,-0.612494,-0.57491,0,0,0
1.27,4.004141,2.3,3.39292,-0.611221,-0.573868,0,0,0
1.28,4.128569,2.3,3.518584,-0.609985,-0.572856,0,0,0
1.29,4.253033,2.3,3.644247,-0.608785,-0.571871,0,0,0
1.3,4.37753,2.3,3.769911,-0.607619,-0.570914,0,0,0
1.31,4.502062,2.3,3.895575,-0.606487,-0.569984,0,0,0
1.32,4.626625,2.3,4.021239,-0.605387,-0.56908,0,0,0
1.33,4.751221,2.3,4.146902,-0.604319,-0.568201,0,0,0
1.34,4.875847,2.3,4.272566,-0.603281,-0.567347,0,0,0
1.35,5.000503,2.3,4.39823,-0.602273,-0.566517,0,0,0
1.36,5.125188,2.3,4.523893,-0.601295,-0.565711,0,0,0
1.37,5.249902,2.3,4.649557,-0.600345,-0.564927,0,0,0
1.38,5.374643,2.3,4.775221,-0.599422,-0.564165,0,0,0
1.39,5.49941,2.3,4.900885,-0.598525,-0.563425,0,0,0
1.4,5.624203,2.3,5.026548,-0.597655,-0.562706,0,0,0
1.41,5.749022,2.3,5.152212,-0.59681,-0.562007,0,0,0
1.42,5.873865,2.3,5.277876,-0.595989,-0.561328,0,0,0
1.43,5.998732,2.3,5.403539,-0.595192,-0.560668,0,0,0
1.44,6.123622,2.3,5.529203,-0.594419,-0.560027,0,0,0
1.45,6.248534,2.3,5.654867,-0.593667,-0.559404,1,0,0
1.46,0.090283,2.3,5.78053,-0.592938,-0.5588,0,0,0
1.47,0.215238,2.3,5.906194,-0.592229,-0.558212,0,0,0
1.48,0.340214,2.3,6.031858,-0.591541,-0.557641,0,0,0
1.49,0.46521,2.3,6.157522,-0.590873,-0.557087,0,0,0
1.5,0.590225,2.3,0.0,-0.590225,-0.556548,0,0,0
1.51,0.715259,2.3,0.125664,-0.589595,-0.556025,0,0,0
1.52,0.840311,2.3,0.251327,-0.588984,-0.555517,0,0,0
1.53,0.965382,2.3,0.376991,-0.58839,-0.555023,0,0,0
1.54,1.090469,2.3,0.502655,-0.587814,-0.554543,0,0,0
1.55,1.215573,2.3,0.628319,-0.587255,-0.554078,0,0,0
1.56,1.340694,2.3,0.753982,-0.586712,-0.553626,0,0,0
1.57,1.46583,2.3,0.879646,-0.586184,-0.553186,0,0,0
1.58,1.590982,2.3,1.00531,-0.585672,-0.55276,0,0,0
1.59,1.716149,2.3,1.130973,-0.585175,-0.552345,0,0,0
1.6,1.84133,2.3,1.256637,-0.584693,-0.551943,0,0,0
1.61,1.966525,2.3,1.382301,-0.584224,-0.551552,0,0,0
1.62,2.091734,2.3,1.507964,-0.583769,-0.551173,0,0,0
1.63,2.216956,2.3,1.633628,-0.583328,-0.550805,0,0,0
1.64,2.342191,2.3,1.759292,-0.582899,-0.550447,0,0,0
1.65,2.467439,2.3,1.884956,-0.582483,-0.550099,0,0,0
1.66,2.592699,2.3,2.010619,-0.582079,-0.549762,0,0,0
1.67,2.71797,2.3,2.136283,-0.581687,-0.549434,0,0,0
1.68,2.843253,2.3,2.261947,-0.581307,-0.549116,0,0,0
1.69,2.968548,2.3,2.38761,-0.580937,-0.548808,0,0,0
1.7,3.093853,2.3,2.513274,-0.580578,-0.548508,0,0,0
1.71,3.219168,2.3,2.638938,-0.58023,-0.548216,0,0,0
1.72,3.344494,2.3,2.764602,-0.579892,-0.547934,0,0,0
1.73,3.469829,2.3,2.890265,-0.579564,-0.547659,0,0,0
1.74,3.595174,2.3,3.015929,-0.579246,-0.547393,0,0,0
1.75,3.720529,2.3,3.141593,-0.578936,-0.547134,0,0,0
1.76,3.845893,2.3,3.267256,-0.578636,-0.546883,0,0,0
1.77,3.971265,2.3,3.39292,-0.578345,-0.546639,0,0,0
1.78,4.096646,2.3,3.518584,-0.578062,-0.546402,0,0,0
