t_s,phase_rad,freq_hz,phase_err,coupling_term,flash
0.001151,0.010831,1.493987,-0.010795,-0.010794448044994935,0
0.001155,0.010867,1.493967,-0.010831,-0.010831055200226309,0
0.00116,0.010909,1.493947,-0.010867,-0.010866723202638429,0
0.001163,0.010946,1.493923,-0.010909,-0.010908961097246483,0
0.001167,0.010981,1.493903,-0.010946,-0.010945566643895704,0
0.001173,0.011033,1.493883,-0.010981,-0.010981233078847264,0
0.001176,0.011068,1.493854,-0.011033,-0.011032854688236659,0
0.00118,0.011103,1.493835,-0.011068,-0.011067581362105791,0
0.001184,0.01114,1.493815,-0.011103,-0.011103246126379567,0
0.001188,0.011174,1.493795,-0.01114,-0.011139848942788279,0
0.001191,0.011209,1.493776,-0.011174,-0.011173635662509456,0
0.001195,0.011243,1.493756,-0.011209,-0.011208360459006238,0
0.0012,0.011286,1.493737,-0.011243,-0.011243084792328576,0
0.001204,0.011324,1.493713,-0.011286,-0.011286255073608593,0
0.001207,0.011358,1.493692,-0.011324,-0.011323793791566263,0
0.001211,0.011393,1.493673,-0.011358,-0.011357578123814605,0
0.001215,0.011427,1.493654,-0.011393,-0.011392300466334167,0
0.001218,0.011462,1.493635,-0.011427,-0.011427022345492062,0
0.001223,0.011505,1.493615,-0.011462,-0.011461743761252956,0
0.001227,0.011542,1.493591,-0.011505,-0.011504910414972647,0
0.001231,0.011576,1.493571,-0.011542,-0.011541507582545104,0
0.001234,0.011612,1.493552,-0.011576,-0.011576227470095894,0
0.001238,0.011648,1.493532,-0.011612,-0.01161188526409574,0
0.001242,0.011683,1.493512,-0.011648,-0.011647542569112875,0
0.001246,0.011718,1.493492,-0.011683,-0.011683199385109047,0
0.001249,0.011753,1.493473,-0.011718,-0.011717917380657106,0
0.001254,0.011797,1.493453,-0.011753,-0.01175263491251229,0
0.001258,0.011833,1.493429,-0.011797,-0.011796735043393307,0
0.001262,0.011868,1.493409,-0.011833,-0.011832389812806585,0
0.001266,0.011904,1.493389,-0.011868,-0.011868044093000674,0
0.001269,0.011938,1.493369,-0.011904,-0.011903697883937352,0
0.001273,0.011973,1.49335,-0.011938,-0.011937474682024518,0
0.001277,0.012008,1.49333,-0.011973,-0.01197312752008744,0
0.001281,0.012053,1.493311,-0.012008,-0.012007841642087526,0
0.001286,0.0121,1.493286,-0.012053,-0.012052875655187782,0
0.00129,0.012137,1.49326,-0.0121,-0.012099785009791381,0
0.001294,0.012172,1.49324,-0.012137,-0.012136373800543348,0
0.001298,0.012208,1.49322,-0.012172,-0.012172023907947709,0
0.001303,0.012256,1.4932,-0.012208,-0.012207673525768917,0
0.001307,0.012293,1.493173,-0.012256,-0.012255518498188747,0
0.001311,0.012328,1.493152,-0.012293,-0.01229304321845652,0
0.001314,0.012364,1.493133,-0.012328,-0.012327753062906673,0
0.001318,0.0124,1.493113,-0.012364,-0.012363400541571864,0
0.001322,0.012436,1.493093,-0.0124,-0.012399985616075668,0
0.001327,0.012481,1.493073,-0.012436,-0.012435632102235639,0
0.001331,0.012517,1.493048,-0.012481,-0.012480658693083046,0
0.001335,0.012554,1.493028,-0.012517,-0.012516304070543615,0
0.00134,0.012604,1.493007,-0.012554,-0.01255382501869042,0
0.001344,0.012639,1.492979,-0.012604,-0.012603539367517761,0
