agent_id,fire_count,flash_on,frequency_hz,phase_rad,pi_flash_events_consumed,received_neighbour_events,role,t_s,topology
V0,20,1,1.991658,1.418821,20,39,virtual,9.396857,all_to_all
V1,19,1,1.993902,1.444763,20,40,virtual,9.396857,all_to_all
P0,20,0,1.933056,1.272974,,0,pi,9.396857,all_to_all
V0,20,0,1.98495,4.229006,20,39,virtual,9.626939,all_to_all
V1,19,0,1.990192,4.25969,20,40,virtual,9.626939,all_to_all
P0,20,0,1.926158,3.87791,,0,pi,9.626939,all_to_all
V0,21,1,1.974022,1.526319,21,41,virtual,9.85976,all_to_all
V1,20,1,1.98359,1.575074,21,42,virtual,9.85976,all_to_all
P0,21,1,1.921333,0.247203,,0,pi,9.85976,all_to_all
V0,21,1,1.967005,3.103527,21,41,virtual,10.060913,all_to_all
V1,20,1,1.978241,3.160266,21,42,virtual,10.060913,all_to_all
P0,21,0,1.918503,2.582655,,0,pi,10.060913,all_to_all
V0,21,0,1.953705,5.840591,21,41,virtual,10.297436,all_to_all
V1,20,0,1.967496,5.914458,21,42,virtual,10.297436,all_to_all
P0,21,0,1.914144,5.300176,,0,pi,10.297436,all_to_all
V0,22,1,1.944345,1.895568,22,43,virtual,10.510685,all_to_all
V1,21,1,1.957729,1.974414,22,44,virtual,10.510685,all_to_all
P0,22,0,1.911948,1.514925,,0,pi,10.510685,all_to_all
V0,22,0,1.9365,4.615111,22,43,virtual,10.727725,all_to_all
V1,21,0,1.945306,4.673803,22,44,virtual,10.727725,all_to_all
P0,22,0,1.907972,3.981692,,0,pi,10.727725,all_to_all
V0,23,1,1.928805,1.424385,22,44,virtual,10.96039,all_to_all
V1,22,1,1.932361,1.448511,22,45,virtual,10.96039,all_to_all
P0,23,1,1.903033,0.295251,,0,pi,10.96039,all_to_all
V0,23,1,1.924146,2.957236,23,45,virtual,11.161396,all_to_all
V1,22,1,1.926592,2.974598,23,46,virtual,11.161396,all_to_all
P0,23,0,1.900395,2.624332,,0,pi,11.161396,all_to_all
V0,23,0,1.916011,5.628601,23,45,virtual,11.393767,all_to_all
V1,22,0,1.91761,5.642112,23,46,virtual,11.393767,all_to_all
P0,23,0,1.896235,5.33091,,0,pi,11.393767,all_to_all
V0,24,1,1.90967,1.63027,24,47,virtual,11.596198,all_to_all
