model,variant,topology,freq_set,rep,n_agents,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,sync_diagnostic_label
kuramoto,baseline,directed_chain,identical,18,3,True,False,True,True,True,0.0,1.0,0.0,0.028254,0.070986,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,19,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,identical,20,3,True,True,True,True,True,0.0,1.0,0.0,0.013333,0.0,0.994743,full_group_sync
kuramoto,baseline,directed_chain,near_identical,1,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,2,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,3,3,True,False,True,True,True,0.0,1.0,0.0,0.049333,0.07659,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,4,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,5,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,6,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,7,3,True,True,True,True,True,0.0,1.0,0.0,0.035,0.003634,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,8,3,True,True,True,True,True,0.0,1.0,0.0,0.035,0.003634,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,9,3,True,False,True,True,True,0.0,1.0,0.0,0.049333,0.077956,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,10,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.003333,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,11,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,12,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,13,3,True,True,True,True,True,0.0,1.0,0.0,0.034667,0.00325,0.967895,full_group_sync
kuramoto,baseline,directed_chain,near_identical,14,3,True,True,True,True,True,0.0,1.0,0.0,0.034333,0.002917,0.967895,full_group_sync
