model,variant,topology,freq_set,n_trials,zero_lag_group_sync_success_rate,phase_locked_group_success_rate,phase_sync_success_rate,frequency_lock_success_rate,one_to_one_flash_lock_success_rate,mean_final_frequency_spread_hz,mean_flash_count_ratio,mean_extra_flash_rate_hz,mean_mean_pairwise_timing_error_s,mean_mean_pairwise_offset_jitter_s,mean_mean_order_parameter_R,dominant_diagnostic
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.01,directed_chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.01,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,all_to_all,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.165085,0.077007,0.97071,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.725205,1.5333,0.8,0.122353,0.13419,0.972867,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,directed_chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.177119,0.038504,0.966714,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,all_to_all,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,all_to_all,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,directed_chain,near_identical,2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.175593,0.038504,0.972534,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,directed_chain,strong_heterogeneity,2,0.0,0.0,0.0,0.0,0.0,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,extra_flashes_or_harmonic_locking
