accepted_flash_event,accepted_flash_event_count,adaptive_amplitude,adaptive_high,adaptive_low,agent_id,brightness_mean,brightness_used,detection_mode,detector_episode_latch_enabled,detector_reject_reason,duplicate_suppressed_count,elapsed_time_s,estimated_frequency_hz,event_type,frame_index,full_frame_mean,last_rising_edge_time_s,latch_off_threshold,latch_on_threshold,local_contrast,local_contrast_ratio,norm_off_threshold,norm_on_threshold,normalized_signal,periodicity_confidence,raw_brightness,rising_edge,rising_edge_count,roi,roi_id,roi_mean,roi_median_brightness,roi_top_percentile_brightness,signal_frequency_hz,signal_norm,signal_quality,source_agent_id,state,t_s,threshold_off,threshold_on,timestamp_s,top_percentile_brightness,use_adaptive
False,1,75.4,90.6,15.2,V1,14.0,14.0,local_contrast,False,,0,0.9678703179997683,0.0,,13,98.86,10014.010783205,0.35,0.65,14.0,0.1867,0.35,0.65,0.0,0.0,14.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,73.01,74.0,88.0,0.0,0.0,0.9425,V1,OFF,0.963492,120.0,180.0,10014.177473698,88.0,True
False,1,41.7,64.7,23.0,V0,65.0,65.0,local_contrast,False,,0,1.00130641099895,0.0,,14,98.94,10014.177473698,0.35,0.65,65.0,0.4815,0.35,0.65,1.0,0.0,65.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,146.98,134.0,199.0,0.0,1.0,0.9698,V0,ON,0.981973,120.0,180.0,10014.210909791,199.0,True
False,1,76.1,90.4,14.3,V1,14.0,14.0,local_contrast,False,,0,1.00130641099895,0.0,,14,98.94,10014.010783205,0.35,0.65,14.0,0.1867,0.35,0.65,0.0,0.0,14.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,72.96,74.0,88.0,0.0,0.0,0.9513,V1,OFF,0.981973,120.0,180.0,10014.210909791,88.0,True
False,1,42.0,65.0,23.0,V0,65.0,65.0,local_contrast,False,,0,1.0346884840000712,0.0,,15,98.97,10014.177473698,0.35,0.65,65.0,0.4815,0.35,0.65,1.0,0.0,65.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,147.0,134.0,199.0,0.0,1.0,0.9767,V0,ON,1.015649,120.0,180.0,10014.244291864,199.0,True
False,1,76.2,90.2,14.0,V1,13.0,13.0,local_contrast,False,,0,1.0346884840000712,0.0,,15,98.97,10014.010783205,0.35,0.65,13.0,0.1733,0.35,0.65,0.0,0.0,13.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,72.95,74.0,87.0,0.0,0.0,0.9407,V1,OFF,1.015649,120.0,180.0,10014.244291864,87.0,True
False,1,42.0,65.0,23.0,V0,65.0,65.0,local_contrast,False,,0,1.0680220750000444,0.0,,16,104.23,10014.177473698,0.35,0.65,65.0,0.461,0.35,0.65,1.0,0.0,65.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,152.71,140.0,205.0,0.0,1.0,0.9767,V0,ON,1.049049,120.0,180.0,10014.277625455,205.0,True
False,1,76.5,90.0,13.5,V1,13.0,13.0,local_contrast,False,,0,1.0680220750000444,0.0,,16,104.23,10014.010783205,0.35,0.65,13.0,0.1646,0.35,0.65,0.0,0.0,13.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,77.43,78.0,91.0,0.0,0.0,0.9444,V1,OFF,1.049049,120.0,180.0,10014.277625455,91.0,True
False,1,42.0,65.0,23.0,V0,66.0,66.0,local_contrast,False,,0,1.1013916479987529,0.0,,17,106.64,10014.177473698,0.35,0.65,66.0,0.4615,0.35,0.65,1.0,0.0,66.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,155.3,142.0,208.0,0.0,1.0,0.9545,V0,ON,1.095132,120.0,180.0,10014.310995028,208.0,True
False,1,76.8,89.8,13.0,V1,13.0,13.0,local_contrast,False,,0,1.1013916479987529,0.0,,17,106.64,10014.010783205,0.35,0.65,13.0,0.1585,0.35,0.65,0.0,0.0,13.0,False,1,"{'x': 378, 'y': 112, 'width': 262, 'height': 256}",1,79.82,81.0,94.0,0.0,0.0,0.9481,V1,OFF,1.095132,120.0,180.0,10014.310995028,94.0,True
False,1,42.3,65.3,23.0,V0,66.0,66.0,local_contrast,False,,0,1.1347173869999096,0.0,,18,109.22,10014.177473698,0.35,0.65,66.0,0.4583,0.35,0.65,1.0,0.0,66.0,False,1,"{'x': 18, 'y': 107, 'width': 227, 'height': 226}",0,156.68,143.0,209.0,0.0,1.0,0.9614,V0,ON,1.11542,120.0,180.0,10014.344320767,209.0,True
